2025-03-25 17:19:41,473 - main1.py:[123] - [ERROR] - 测试执行失败，错误信息: 
2025-03-25 17:19:51,499 - main1.py:[189] - [INFO] - 钉钉发送状态码: 200
2025-03-25 17:27:05,002 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 17:27:11,615 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 17:27:15,389 - main1.py:[98] - [INFO] - 钉钉发送状态码: 200
2025-03-25 17:31:28,218 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 17:31:32,088 - main1.py:[98] - [INFO] - 钉钉发送状态码: 200
2025-03-25 17:43:35,272 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 17:43:38,981 - main1.py:[100] - [INFO] - 钉钉发送状态码: 200
2025-03-25 17:47:19,039 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 17:52:41,907 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 17:52:45,949 - main1.py:[100] - [INFO] - 钉钉发送状态码: 200
2025-03-25 17:58:35,628 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 17:58:40,019 - main1.py:[101] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:05:34,714 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:06:44,513 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:06:48,409 - main1.py:[101] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:09:19,651 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:10:03,594 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:10:08,007 - main1.py:[99] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:13:25,339 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:13:29,562 - main1.py:[104] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:16:53,051 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:16:57,205 - main1.py:[107] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:18:53,012 - test_login.py:[24] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:18:56,888 - main1.py:[105] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:22:12,007 - test_login.py:[23] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:22:15,669 - main1.py:[95] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:27:12,684 - test_login.py:[23] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:28:15,294 - test_login.py:[23] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:28:18,826 - main1.py:[94] - [INFO] - 钉钉发送状态码: 200
2025-03-25 18:30:35,530 - test_login.py:[23] - [INFO] - 本用例正在执行：test_login。获取到的结果是：数据更新成功, 期望的结果是:数据更新成功，返回token
2025-03-25 18:30:39,756 - main1.py:[94] - [INFO] - 钉钉发送状态码: 200
