"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"查询工序，提取工序ID","34","查询工序","TestCase.integration_tests","Sun Jul 13 13:34:01 CST 2025","passed","Sun Jul 13 13:34:01 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯处理确认接口，期望成功","31","安灯处理确认","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工序，期望删除成功","31","删除工序","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"报废产品标签，期望报废成功","1","标签报废","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"转移产品标签，期望转移成功","0","标签转移","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"新增车间，期望新增成功","64","新增车间","TestCase.integration_tests","Sun Jul 13 13:34:02 CST 2025","passed","Sun Jul 13 13:34:02 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","102","生产完工","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"提交生产报工，期望报工成功","94","生产报工","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","92","安灯签到","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"查看生产SOP文档，期望查看成功","28","查看SOP","TestCase.integration_tests","Sun Jul 13 13:34:03 CST 2025","passed","Sun Jul 13 13:34:03 CST 2025","TestMainProcess","test_mainprocess","",""
"查询安灯规则，期望查询成功","21","查询安灯规则","TestCase.integration_tests","Sun Jul 13 13:34:02 CST 2025","passed","Sun Jul 13 13:34:02 CST 2025","TestMainProcess","test_mainprocess","",""
"创建安灯规则，期望创建成功","38","创建安灯规则","TestCase.integration_tests","Sun Jul 13 13:34:02 CST 2025","passed","Sun Jul 13 13:34:02 CST 2025","TestMainProcess","test_mainprocess","",""
"查询检验单，提取检验单号","1378","查询检验单","TestCase.integration_tests","Sun Jul 13 13:34:03 CST 2025","passed","Sun Jul 13 13:34:05 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","23","新增物料BOM","TestCase.integration_tests","Sun Jul 13 13:34:00 CST 2025","passed","Sun Jul 13 13:34:00 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工艺路线，提取工艺路线ID","24","查询工艺路线","TestCase.integration_tests","Sun Jul 13 13:34:01 CST 2025","passed","Sun Jul 13 13:34:01 CST 2025","TestMainProcess","test_mainprocess","",""
"产品绑定工艺路线，期望绑定成功","20","产品绑定工艺路线","TestCase.integration_tests","Sun Jul 13 13:34:01 CST 2025","passed","Sun Jul 13 13:34:01 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","1378","开始检验","TestCase.integration_tests","Sun Jul 13 13:34:05 CST 2025","passed","Sun Jul 13 13:34:06 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定产品，期望绑定成功","309","工艺路线绑定产品","TestCase.integration_tests","Sun Jul 13 13:34:01 CST 2025","passed","Sun Jul 13 13:34:01 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产计划，期望创建成功","68","创建生产计划","TestCase.integration_tests","Sun Jul 13 13:34:02 CST 2025","passed","Sun Jul 13 13:34:02 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","31","工艺路线绑定工序","TestCase.integration_tests","Sun Jul 13 13:34:01 CST 2025","passed","Sun Jul 13 13:34:01 CST 2025","TestMainProcess","test_mainprocess","",""
"创建检验方案，期望创建成功","42","创建检验方案","TestCase.integration_tests","Sun Jul 13 13:34:02 CST 2025","passed","Sun Jul 13 13:34:02 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯开始处理接口，期望成功","101","安灯开始处理","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼结束接口，期望成功","39","安灯结束处理","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","0","标签完工","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","105","删除车间","TestCase.integration_tests","Sun Jul 13 13:34:09 CST 2025","passed","Sun Jul 13 13:34:09 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","38","确认上料","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
"删除安灯规则，期望删除成功","42","删除安灯规则","TestCase.integration_tests","Sun Jul 13 13:34:09 CST 2025","passed","Sun Jul 13 13:34:09 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","23","查询产品工艺路线","TestCase.integration_tests","Sun Jul 13 13:34:01 CST 2025","passed","Sun Jul 13 13:34:01 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","25","新增工艺路线","TestCase.integration_tests","Sun Jul 13 13:34:01 CST 2025","passed","Sun Jul 13 13:34:01 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线ESOP文件，期望新增成功","109","新增工艺路线ESOP文件","TestCase.integration_tests","Sun Jul 13 13:34:02 CST 2025","passed","Sun Jul 13 13:34:02 CST 2025","TestMainProcess","test_mainprocess","",""
"创建一条新的物料信息，期望新增成功","54","新增物料","TestCase.integration_tests","Sun Jul 13 13:34:00 CST 2025","passed","Sun Jul 13 13:34:00 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","56","删除物料BOM","TestCase.integration_tests","Sun Jul 13 13:34:09 CST 2025","passed","Sun Jul 13 13:34:09 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","19","新增物料BOM明细","TestCase.integration_tests","Sun Jul 13 13:34:00 CST 2025","passed","Sun Jul 13 13:34:00 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","52","查询车间","TestCase.integration_tests","Sun Jul 13 13:34:02 CST 2025","passed","Sun Jul 13 13:34:02 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","0","标签合并","TestCase.integration_tests","Sun Jul 13 13:34:08 CST 2025","passed","Sun Jul 13 13:34:08 CST 2025","TestMainProcess","test_mainprocess","",""
