"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"查看生产SOP文档，期望查看成功","53","查看SOP","TestCase.test_integration","Sun Jul 13 17:44:45 CST 2025","passed","Sun Jul 13 17:44:45 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定产品，期望绑定成功","360","工艺路线绑定产品","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"查询设备台账，提取设备ID","49","查询设备台账","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工艺路线，期望删除成功","25","删除工艺路线","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"审核ESOP文件，期望审核成功","36","审核ESOP文件","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯处理确认接口，期望成功","50","安灯处理确认","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","76","查询车间","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","42","工艺路线绑定工序","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","59","安灯签到","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"产品绑定工艺路线，期望绑定成功","31","产品绑定工艺路线","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"下达生产计划，期望下达成功","532","下达生产计划","TestCase.test_integration","Sun Jul 13 17:44:44 CST 2025","passed","Sun Jul 13 17:44:44 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料，期望删除成功","158","删除物料","TestCase.test_integration","Sun Jul 13 17:45:02 CST 2025","passed","Sun Jul 13 17:45:02 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","64","确认上料","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工序，期望新增成功","32","新增工序","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"产品工序BOM绑定，期望绑定成功","96","产品工序BOM绑定","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","83","删除车间","TestCase.test_integration","Sun Jul 13 17:45:02 CST 2025","passed","Sun Jul 13 17:45:02 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","89","新增工艺路线","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产品工艺路线，期望删除成功","131","删除产品工艺路线","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"查询安灯规则，期望查询成功","26","查询安灯规则","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"转移产品标签，期望转移成功","0","标签转移","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"删除安灯规则，期望删除成功","26","删除安灯规则","TestCase.test_integration","Sun Jul 13 17:45:02 CST 2025","passed","Sun Jul 13 17:45:02 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","5411","开始检验","TestCase.test_integration","Sun Jul 13 17:44:50 CST 2025","passed","Sun Jul 13 17:44:55 CST 2025","TestMainProcess","test_mainprocess","",""
"创建检验方案，期望创建成功","39","创建检验方案","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"查询物料BOM，提取BOM ID","500","查询物料BOM","TestCase.test_integration","Sun Jul 13 17:44:41 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建设备台账，期望删除成功","45","删除设备台账","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"下达派工单，期望下达成功","106","派工单下达","TestCase.test_integration","Sun Jul 13 17:44:45 CST 2025","passed","Sun Jul 13 17:44:45 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","360","确认生产计划","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:44 CST 2025","TestMainProcess","test_mainprocess","",""
"报废产品标签，期望报废成功","0","标签报废","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产派工单，期望创建成功","153","创建派工单","TestCase.test_integration","Sun Jul 13 17:44:44 CST 2025","passed","Sun Jul 13 17:44:45 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","1","标签合并","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"创建一条新的物料信息，期望新增成功","60","新增物料","TestCase.test_integration","Sun Jul 13 17:44:41 CST 2025","passed","Sun Jul 13 17:44:41 CST 2025","TestMainProcess","test_mainprocess","",""
"创建安灯规则，期望创建成功","67","创建安灯规则","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产线，期望删除成功","77","删除产线","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:02 CST 2025","TestMainProcess","test_mainprocess","",""
"提交生产报工，期望报工成功","105","生产报工","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","63","删除物料BOM","TestCase.test_integration","Sun Jul 13 17:45:02 CST 2025","passed","Sun Jul 13 17:45:02 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工序，提取工序ID","15","查询工序","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","25","查询产品工艺路线","TestCase.test_integration","Sun Jul 13 17:44:42 CST 2025","passed","Sun Jul 13 17:44:42 CST 2025","TestMainProcess","test_mainprocess","",""
"新增设备台账，期望新增成功","36","新增设备台账","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","68","新增产线","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"新增ESOP文件，期望新增成功","95","新增ESOP文件","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","56","扫描标签","TestCase.test_integration","Sun Jul 13 17:45:00 CST 2025","passed","Sun Jul 13 17:45:00 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线ESOP文件，期望新增成功","85","新增工艺路线ESOP文件","TestCase.test_integration","Sun Jul 13 17:44:43 CST 2025","passed","Sun Jul 13 17:44:43 CST 2025","TestMainProcess","test_mainprocess","",""
"提交质量检验结果，期望提交成功","5003","提交检验结果","TestCase.test_integration","Sun Jul 13 17:44:55 CST 2025","passed","Sun Jul 13 17:45:00 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","49","新增物料BOM","TestCase.test_integration","Sun Jul 13 17:44:41 CST 2025","passed","Sun Jul 13 17:44:41 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描上料标签SN，期望扫描成功","60","上料扫描SN","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","115","生产完工","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼结束接口，期望成功","36","安灯结束处理","TestCase.test_integration","Sun Jul 13 17:45:01 CST 2025","passed","Sun Jul 13 17:45:01 CST 2025","TestMainProcess","test_mainprocess","",""
