"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","test_07_delete_production_line","TestCase.functional_tests","Mon Jul 07 10:23:02 CST 2025","passed","Mon Jul 07 10:23:02 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","193","test_06_bom_uniqueness","TestCase.functional_tests","Mon Jul 07 10:23:49 CST 2025","passed","Mon Jul 07 10:23:50 CST 2025","TestMaterials","test_materials","",""
"查看生产SOP文档，期望查看成功","0","查看SOP","TestCase.integration_tests","Mon Jul 07 10:26:06 CST 2025","failed","Mon Jul 07 10:26:06 CST 2025","TestMainProcess","test_mainprocess","",""
"","104","test_05_query_route","TestCase.functional_tests","Mon Jul 07 10:24:11 CST 2025","passed","Mon Jul 07 10:24:11 CST 2025","TestProcess","test_process","",""
"","110","test_05_query_production_line","TestCase.functional_tests","Mon Jul 07 10:23:02 CST 2025","passed","Mon Jul 07 10:23:02 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","195","删除物料BOM","TestCase.functional_tests","Mon Jul 07 10:23:50 CST 2025","passed","Mon Jul 07 10:23:50 CST 2025","TestMaterials","test_materials","",""
"","229","test_02_query_material","TestCase.functional_tests","Mon Jul 07 10:23:49 CST 2025","passed","Mon Jul 07 10:23:49 CST 2025","TestMaterials","test_materials","",""
"合并产品标签，期望合并成功","1","标签合并","TestCase.integration_tests","Mon Jul 07 10:26:15 CST 2025","passed","Mon Jul 07 10:26:15 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","1","删除物料BOM","TestCase.integration_tests","Mon Jul 07 10:26:16 CST 2025","passed","Mon Jul 07 10:26:16 CST 2025","TestMainProcess","test_mainprocess","",""
"新增车间，期望新增成功","315","新增车间","TestCase.integration_tests","Mon Jul 07 10:26:00 CST 2025","failed","Mon Jul 07 10:26:00 CST 2025","TestMainProcess","test_mainprocess","",""
"","135","test_03_workshop_uniqueness","TestCase.functional_tests","Mon Jul 07 10:23:01 CST 2025","passed","Mon Jul 07 10:23:02 CST 2025","TestFactoryStructure","test_factory_structure","",""
"删除测试创建的车间，期望删除成功","2","删除车间","TestCase.integration_tests","Mon Jul 07 10:26:16 CST 2025","passed","Mon Jul 07 10:26:16 CST 2025","TestMainProcess","test_mainprocess","",""
"转移产品标签，期望转移成功","1","标签转移","TestCase.integration_tests","Mon Jul 07 10:26:15 CST 2025","passed","Mon Jul 07 10:26:15 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","1","开始检验","TestCase.integration_tests","Mon Jul 07 10:26:10 CST 2025","failed","Mon Jul 07 10:26:10 CST 2025","TestMainProcess","test_mainprocess","",""
"创建一条新的物料信息，期望新增成功","2080","新增物料","TestCase.integration_tests","Mon Jul 07 10:25:36 CST 2025","failed","Mon Jul 07 10:25:38 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","373","清理测试数据","TestCase.integration_tests","Mon Jul 07 10:26:16 CST 2025","passed","Mon Jul 07 10:26:16 CST 2025","TestMainProcess","test_mainprocess","",""
"下达派工单，期望下达成功","2","派工单下达","TestCase.integration_tests","Mon Jul 07 10:26:06 CST 2025","failed","Mon Jul 07 10:26:06 CST 2025","TestMainProcess","test_mainprocess","",""
"","414","删除工艺路线","TestCase.functional_tests","Mon Jul 07 10:24:11 CST 2025","passed","Mon Jul 07 10:24:11 CST 2025","TestProcess","test_process","",""
"创建检验方案，期望创建成功","235","创建检验方案","TestCase.integration_tests","Mon Jul 07 10:26:01 CST 2025","passed","Mon Jul 07 10:26:01 CST 2025","TestMainProcess","test_mainprocess","",""
"","303","test_06_production_line_uniqueness","TestCase.functional_tests","Mon Jul 07 10:23:02 CST 2025","passed","Mon Jul 07 10:23:02 CST 2025","TestFactoryStructure","test_factory_structure","",""
"为BOM绑定物料明细，期望新增成功","2099","新增物料BOM明细","TestCase.integration_tests","Mon Jul 07 10:25:42 CST 2025","broken","Mon Jul 07 10:25:44 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产线，期望删除成功","177","删除产线","TestCase.integration_tests","Mon Jul 07 10:26:15 CST 2025","passed","Mon Jul 07 10:26:16 CST 2025","TestMainProcess","test_mainprocess","",""
