"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"创建检验方案，期望创建成功","47","创建检验方案","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工序，期望删除成功","43","删除工序","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"","66","test_03_material_uniqueness","TestCase.functional_tests","Tue Jul 01 16:57:03 CST 2025","passed","Tue Jul 01 16:57:04 CST 2025","TestMaterials","test_materials","",""
"","21","test_02_query_workshop","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","failed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"查询车间，提取车间ID","26","查询车间","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","27","新增物料BOM明细","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"提交生产报工，期望报工成功","110","生产报工","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","31","新增工艺路线","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"查询设备台账，提取设备ID","28","查询设备台账","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"","166","test_02_query_material","TestCase.functional_tests","Tue Jul 01 16:57:03 CST 2025","passed","Tue Jul 01 16:57:03 CST 2025","TestMaterials","test_materials","",""
"查询产线，提取产线ID","22","查询产线","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"","29","test_03_workshop_uniqueness","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","passed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","28","test_05_query_production_line","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","passed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","126","删除物料","TestCase.functional_tests","Tue Jul 01 16:57:04 CST 2025","passed","Tue Jul 01 16:57:04 CST 2025","TestMaterials","test_materials","",""
"查询工序，提取工序ID","28","查询工序","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","24","确认上料","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定产品，期望绑定成功","216","工艺路线绑定产品","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产品工艺路线，期望删除成功","68","删除产品工艺路线","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"开始生产作业，期望启动成功","156","开始生产","TestCase.integration_tests","Tue Jul 01 16:57:40 CST 2025","passed","Tue Jul 01 16:57:40 CST 2025","TestMainProcess","test_mainprocess","",""
"","16","test_05_query_route","TestCase.functional_tests","Tue Jul 01 16:57:06 CST 2025","passed","Tue Jul 01 16:57:06 CST 2025","TestProcess","test_process","",""
"","1","test_01_add_workshop","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","failed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"转移产品标签，期望转移成功","1","标签转移","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"","28","test_03_process_uniqueness","TestCase.functional_tests","Tue Jul 01 16:57:05 CST 2025","passed","Tue Jul 01 16:57:05 CST 2025","TestProcess","test_process","",""
"合并产品标签，期望合并成功","2","标签合并","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","36","新增产线","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产派工单，期望创建成功","145","创建派工单","TestCase.integration_tests","Tue Jul 01 16:57:40 CST 2025","passed","Tue Jul 01 16:57:40 CST 2025","TestMainProcess","test_mainprocess","",""
"","78","test_07_delete_production_line","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","passed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"创建生产计划，期望创建成功","77","创建生产计划","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_04_add_production_line","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","passed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"扫描产品标签，期望扫描成功","31","扫描标签","TestCase.integration_tests","Tue Jul 01 16:57:44 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"","32","新增设备台账","TestCase.functional_tests","Tue Jul 01 16:56:56 CST 2025","failed","Tue Jul 01 16:56:56 CST 2025","TestEquipment","test_equipment","",""
"","25","删除设备台账","TestCase.functional_tests","Tue Jul 01 16:56:56 CST 2025","passed","Tue Jul 01 16:56:56 CST 2025","TestEquipment","test_equipment","",""
"产品工序BOM绑定，期望绑定成功","96","产品工序BOM绑定","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"","19","test_06_bom_uniqueness","TestCase.functional_tests","Tue Jul 01 16:57:04 CST 2025","passed","Tue Jul 01 16:57:04 CST 2025","TestMaterials","test_materials","",""
"新增设备台账，期望新增成功","22","新增设备台账","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","101","生产完工","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"","34","扫描标签","TestCase.functional_tests","Tue Jul 01 16:57:00 CST 2025","passed","Tue Jul 01 16:57:00 CST 2025","TestLabel","test_label","",""
"","18","test_06_production_line_uniqueness","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","passed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"创建一条新的物料信息，期望新增成功","88","新增物料","TestCase.integration_tests","Tue Jul 01 16:57:37 CST 2025","passed","Tue Jul 01 16:57:37 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建设备台账，期望删除成功","51","删除设备台账","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"","18","test_02_query_process","TestCase.functional_tests","Tue Jul 01 16:57:05 CST 2025","passed","Tue Jul 01 16:57:05 CST 2025","TestProcess","test_process","",""
"审核工艺路线ESOP文件，期望审核成功","53","审核工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"查询检验单，提取检验单号","1420","查询检验单","TestCase.integration_tests","Tue Jul 01 16:57:40 CST 2025","passed","Tue Jul 01 16:57:41 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","test_01_add_process","TestCase.functional_tests","Tue Jul 01 16:57:05 CST 2025","passed","Tue Jul 01 16:57:05 CST 2025","TestProcess","test_process","",""
"新增ESOP文件，期望新增成功","102","新增ESOP文件","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","325","清理测试数据","TestCase.integration_tests","Tue Jul 01 16:57:46 CST 2025","passed","Tue Jul 01 16:57:46 CST 2025","TestMainProcess","test_mainprocess","",""
"新增车间，期望新增成功","38","新增车间","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"","24","查询设备台账","TestCase.functional_tests","Tue Jul 01 16:56:56 CST 2025","passed","Tue Jul 01 16:56:56 CST 2025","TestEquipment","test_equipment","",""
"工艺路线绑定工序，期望绑定成功","44","工艺路线绑定工序","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","201","标签拆分","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工艺路线，提取工艺路线ID","21","查询工艺路线","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","30","删除物料BOM","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","1359","开始检验","TestCase.integration_tests","Tue Jul 01 16:57:41 CST 2025","passed","Tue Jul 01 16:57:43 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","38","查询产品工艺路线","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","73","确认生产计划","TestCase.integration_tests","Tue Jul 01 16:57:39 CST 2025","passed","Tue Jul 01 16:57:39 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产线，期望删除成功","55","删除产线","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"","33","test_06_route_uniqueness","TestCase.functional_tests","Tue Jul 01 16:57:06 CST 2025","passed","Tue Jul 01 16:57:06 CST 2025","TestProcess","test_process","",""
"","31","删除工序","TestCase.functional_tests","Tue Jul 01 16:57:06 CST 2025","passed","Tue Jul 01 16:57:06 CST 2025","TestProcess","test_process","",""
"查询已创建的物料，提取物料ID","163","查询物料","TestCase.integration_tests","Tue Jul 01 16:57:37 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","test_04_add_route","TestCase.functional_tests","Tue Jul 01 16:57:06 CST 2025","passed","Tue Jul 01 16:57:06 CST 2025","TestProcess","test_process","",""
"","0","test_01_add_material","TestCase.functional_tests","Tue Jul 01 16:57:03 CST 2025","passed","Tue Jul 01 16:57:03 CST 2025","TestMaterials","test_materials","",""
"","47","test_08_delete_workshop","TestCase.functional_tests","Tue Jul 01 16:56:58 CST 2025","passed","Tue Jul 01 16:56:58 CST 2025","TestFactoryStructure","test_factory_structure","",""
"删除测试创建的工艺路线，期望删除成功","33","删除工艺路线","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
"查询物料BOM，提取BOM ID","143","查询物料BOM","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_04_add_bom","TestCase.functional_tests","Tue Jul 01 16:57:04 CST 2025","failed","Tue Jul 01 16:57:04 CST 2025","TestMaterials","test_materials","",""
"新增工序，期望新增成功","32","新增工序","TestCase.integration_tests","Tue Jul 01 16:57:38 CST 2025","passed","Tue Jul 01 16:57:38 CST 2025","TestMainProcess","test_mainprocess","",""
"查看生产SOP文档，期望查看成功","23","查看SOP","TestCase.integration_tests","Tue Jul 01 16:57:40 CST 2025","passed","Tue Jul 01 16:57:40 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","65","删除车间","TestCase.integration_tests","Tue Jul 01 16:57:45 CST 2025","passed","Tue Jul 01 16:57:45 CST 2025","TestMainProcess","test_mainprocess","",""
