"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"删除存在的物料BOM，删除成功","3716","删除物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:19 CST 2025","passed","Fri May 23 17:39:23 CST 2025","TestProductMaterials","test_product_materials","",""
"创建重复代码物料，创建失败并给出相应的提示","1221","创建重复代码物料","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:12 CST 2025","passed","Fri May 23 17:39:13 CST 2025","TestProductMaterials","test_product_materials","",""
"使用符合要求的物料信息创建物料，创建成功","2637","创建物料","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:09 CST 2025","passed","Fri May 23 17:39:12 CST 2025","TestProductMaterials","test_product_materials","",""
"错误账号正确密码登陆，登陆失败并给出相应的提示","13","错误账号正确密码登陆","TestCase.functional_tests","Fri May 23 17:39:23 CST 2025","passed","Fri May 23 17:39:23 CST 2025","TestLogin","test_login","",""
"查询存在的物料BOM，数据正确","1336","查询物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:18 CST 2025","passed","Fri May 23 17:39:19 CST 2025","TestProductMaterials","test_product_materials","",""
"删除已存在的工序，删除成功","1161","删除工序","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:08 CST 2025","passed","Fri May 23 17:39:09 CST 2025","TestProcessRelated","test_process_related","",""
"使用已有的物料删除，删除成功","1359","删除物料","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:14 CST 2025","passed","Fri May 23 17:39:16 CST 2025","TestProductMaterials","test_product_materials","",""
"使用已有的物料查询，查询成功","1271","查询物料","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:13 CST 2025","passed","Fri May 23 17:39:14 CST 2025","TestProductMaterials","test_product_materials","",""
"使用正确的账号和密码登录，登陆成功","163","正确账号密码登陆","TestCase.functional_tests","Fri May 23 17:39:23 CST 2025","passed","Fri May 23 17:39:23 CST 2025","TestLogin","test_login","",""
"使用符合要求的信息创建工序，创建成功","1193","创建工序","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:06 CST 2025","passed","Fri May 23 17:39:07 CST 2025","TestProcessRelated","test_process_related","",""
"使用重复的工序代码，创建失败","1172","创建工序校验重复","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:07 CST 2025","passed","Fri May 23 17:39:08 CST 2025","TestProcessRelated","test_process_related","",""
"新增已有的物料和不存在的BOM，新增成功","2413","新建物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 23 17:39:16 CST 2025","passed","Fri May 23 17:39:18 CST 2025","TestProductMaterials","test_product_materials","",""
"正确账号错误密码登陆，登陆失败并给出相应的提示","180","正确账号错误密码登陆","TestCase.functional_tests","Fri May 23 17:39:23 CST 2025","passed","Fri May 23 17:39:23 CST 2025","TestLogin","test_login","",""
