"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用已有的物料查询，查询成功","1475","查询物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:17 CST 2025","passed","Fri May 30 15:34:18 CST 2025","TestProductMaterials","test_product_materials","",""
"查询存在的物料BOM，数据正确","2865","查询物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:22 CST 2025","passed","Fri May 30 15:34:25 CST 2025","TestProductMaterials","test_product_materials","",""
"删除已存在的工序，删除成功","1727","删除工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:59 CST 2025","passed","Fri May 30 15:34:01 CST 2025","TestProcessRelated","test_process_related","",""
"工艺路线绑定工序，绑定成功","1292","工艺路线绑定工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:06 CST 2025","passed","Fri May 30 15:34:08 CST 2025","TestProcessRelated","test_process_related","",""
"删除设备，删除成功","1760","删除设备","TestCase.functional_tests.test_equipment_management","Fri May 30 15:33:41 CST 2025","passed","Fri May 30 15:33:43 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"使用重复的信息新建设备，新建失败","1728","新建设备校验唯一","TestCase.functional_tests.test_equipment_management","Fri May 30 15:33:40 CST 2025","passed","Fri May 30 15:33:41 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"正确账号错误密码登陆，登陆失败并给出相应的提示","179","正确账号错误密码登陆","TestCase.functional_tests","Fri May 30 15:34:30 CST 2025","passed","Fri May 30 15:34:30 CST 2025","TestLogin","test_login","",""
"新增重复工艺路线，新增失败","1925","新增重复工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:02 CST 2025","passed","Fri May 30 15:34:04 CST 2025","TestProcessRelated","test_process_related","",""
"使用重复的信息创建车间，创建失败","2115","创建重复车间","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:45 CST 2025","passed","Fri May 30 15:33:47 CST 2025","TestPlantLayout","test_plant_layout","",""
"新增已有的物料和不存在的BOM，新增成功","2679","新建物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:20 CST 2025","passed","Fri May 30 15:34:22 CST 2025","TestProductMaterials","test_product_materials","",""
"使用符合要求的车间信息创建物料，创建成功","1349","创建物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:14 CST 2025","passed","Fri May 30 15:34:15 CST 2025","TestProductMaterials","test_product_materials","",""
"新增符合要求的工艺路线，新增成功","1545","新增工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:01 CST 2025","passed","Fri May 30 15:34:02 CST 2025","TestProcessRelated","test_process_related","",""
"使用符合要求的信息创建车间，创建成功","2163","新增车间","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:43 CST 2025","passed","Fri May 30 15:33:45 CST 2025","TestPlantLayout","test_plant_layout","",""
"使用符合要求的信息创建产线，创建成功","2074","新增产线","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:49 CST 2025","passed","Fri May 30 15:33:51 CST 2025","TestPlantLayout","test_plant_layout","",""
"产品绑定工艺路线，绑定成功","5127","产品绑定工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:08 CST 2025","passed","Fri May 30 15:34:13 CST 2025","TestProcessRelated","test_process_related","",""
"创建重复代码物料，创建失败并给出相应的提示","1420","创建重复代码物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:15 CST 2025","passed","Fri May 30 15:34:17 CST 2025","TestProductMaterials","test_product_materials","",""
"删除存在的车间，删除成功","1850","删除车间","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:47 CST 2025","passed","Fri May 30 15:33:49 CST 2025","TestPlantLayout","test_plant_layout","",""
"删除存在的物料BOM，删除成功","4398","删除物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:25 CST 2025","passed","Fri May 30 15:34:30 CST 2025","TestProductMaterials","test_product_materials","",""
"删除工艺路线，删除成功","1882","删除工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:34:04 CST 2025","passed","Fri May 30 15:34:06 CST 2025","TestProcessRelated","test_process_related","",""
"使用符合要求的信息创建工序，创建成功","3321","创建工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:54 CST 2025","passed","Fri May 30 15:33:57 CST 2025","TestProcessRelated","test_process_related","",""
"错误账号正确密码登陆，登陆失败并给出相应的提示","51","错误账号正确密码登陆","TestCase.functional_tests","Fri May 30 15:34:30 CST 2025","passed","Fri May 30 15:34:30 CST 2025","TestLogin","test_login","",""
"删除存在的产线，删除成功","1216","删除产线","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:53 CST 2025","passed","Fri May 30 15:33:54 CST 2025","TestPlantLayout","test_plant_layout","",""
"使用正确的账号和密码登录，登陆成功","201","正确账号密码登陆","TestCase.functional_tests","Fri May 30 15:34:30 CST 2025","passed","Fri May 30 15:34:30 CST 2025","TestLogin","test_login","",""
"使用重复的物料信息创建产线，创建失败","1278","创建重复产线","TestCase.functional_tests.test_factory_modeling","Fri May 30 15:33:51 CST 2025","passed","Fri May 30 15:33:53 CST 2025","TestPlantLayout","test_plant_layout","",""
