"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"创建生产计划，期望创建成功","137","创建生产计划","TestCase.integration_tests","Mon Jul 07 10:35:13 CST 2025","passed","Mon Jul 07 10:35:13 CST 2025","TestMainProcess","test_mainprocess","",""
"新增车间，期望新增成功","87","新增车间","TestCase.integration_tests","Mon Jul 07 10:35:13 CST 2025","passed","Mon Jul 07 10:35:13 CST 2025","TestMainProcess","test_mainprocess","",""
"","57","test_07_delete_production_line","TestCase.functional_tests","Mon Jul 07 10:33:44 CST 2025","passed","Mon Jul 07 10:33:44 CST 2025","TestFactoryStructure","test_factory_structure","",""
"提交质量检验结果，期望提交成功","2288","提交检验结果","TestCase.integration_tests","Mon Jul 07 10:35:19 CST 2025","passed","Mon Jul 07 10:35:21 CST 2025","TestMainProcess","test_mainprocess","",""
"","95","test_03_process_uniqueness","TestCase.functional_tests","Mon Jul 07 10:34:02 CST 2025","passed","Mon Jul 07 10:34:02 CST 2025","TestProcess","test_process","",""
"集中清理所有测试数据，防止数据残留","384","清理测试数据","TestCase.integration_tests","Mon Jul 07 10:35:22 CST 2025","passed","Mon Jul 07 10:35:23 CST 2025","TestMainProcess","test_mainprocess","",""
"查询设备台账，提取设备ID","20","查询设备台账","TestCase.integration_tests","Mon Jul 07 10:35:12 CST 2025","passed","Mon Jul 07 10:35:12 CST 2025","TestMainProcess","test_mainprocess","",""
"","65","test_02_query_process","TestCase.functional_tests","Mon Jul 07 10:34:02 CST 2025","passed","Mon Jul 07 10:34:02 CST 2025","TestProcess","test_process","",""
"开始质量检验，期望启动成功","2216","开始检验","TestCase.integration_tests","Mon Jul 07 10:35:16 CST 2025","passed","Mon Jul 07 10:35:19 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","23","新增物料BOM明细","TestCase.integration_tests","Mon Jul 07 10:35:11 CST 2025","passed","Mon Jul 07 10:35:11 CST 2025","TestMainProcess","test_mainprocess","",""
