"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"查询工序，提取工序ID","34","查询工序","TestCase.integration_tests","Tue Jul 01 16:04:04 CST 2025","passed","Tue Jul 01 16:04:05 CST 2025","TestMainProcess","test_mainprocess","",""
"","23","删除设备台账","TestCase.functional_tests","Tue Jul 01 16:03:16 CST 2025","passed","Tue Jul 01 16:03:16 CST 2025","TestEquipment","test_equipment","",""
"删除测试创建的产线，期望删除成功","58","删除产线","TestCase.integration_tests","Tue Jul 01 16:04:26 CST 2025","passed","Tue Jul 01 16:04:26 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定产品，期望绑定成功","575","工艺路线绑定产品","TestCase.integration_tests","Tue Jul 01 16:04:05 CST 2025","passed","Tue Jul 01 16:04:05 CST 2025","TestMainProcess","test_mainprocess","",""
"","26","工序唯一性校验","TestCase.functional_tests","Tue Jul 01 16:03:25 CST 2025","passed","Tue Jul 01 16:03:25 CST 2025","TestProcess","test_process","",""
"完成生产作业，期望完工成功","204","生产完工","TestCase.integration_tests","Tue Jul 01 16:04:25 CST 2025","passed","Tue Jul 01 16:04:25 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","39","查询产品工艺路线","TestCase.integration_tests","Tue Jul 01 16:04:05 CST 2025","passed","Tue Jul 01 16:04:05 CST 2025","TestMainProcess","test_mainprocess","",""
"","31","删除工艺路线","TestCase.functional_tests","Tue Jul 01 16:03:25 CST 2025","passed","Tue Jul 01 16:03:25 CST 2025","TestProcess","test_process","",""
"开始生产作业，期望启动成功","2087","开始生产","TestCase.integration_tests","Tue Jul 01 16:04:10 CST 2025","passed","Tue Jul 01 16:04:12 CST 2025","TestMainProcess","test_mainprocess","",""
"","59","删除产线","TestCase.functional_tests","Tue Jul 01 16:03:18 CST 2025","passed","Tue Jul 01 16:03:18 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","26","车间唯一性校验","TestCase.functional_tests","Tue Jul 01 16:03:17 CST 2025","passed","Tue Jul 01 16:03:17 CST 2025","TestFactoryStructure","test_factory_structure","",""
"查询设备台账，提取设备ID","22","查询设备台账","TestCase.integration_tests","Tue Jul 01 16:04:06 CST 2025","passed","Tue Jul 01 16:04:06 CST 2025","TestMainProcess","test_mainprocess","",""
"审核工艺路线ESOP文件，期望审核成功","185","审核工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 16:04:07 CST 2025","passed","Tue Jul 01 16:04:07 CST 2025","TestMainProcess","test_mainprocess","",""
"查询已创建的派工单，提取派工单号","137","查询派工单","TestCase.integration_tests","Tue Jul 01 16:04:10 CST 2025","passed","Tue Jul 01 16:04:10 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","33","查询车间","TestCase.integration_tests","Tue Jul 01 16:04:07 CST 2025","passed","Tue Jul 01 16:04:07 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","97","删除车间","TestCase.integration_tests","Tue Jul 01 16:04:26 CST 2025","passed","Tue Jul 01 16:04:26 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","125","工艺路线绑定工序","TestCase.integration_tests","Tue Jul 01 16:04:05 CST 2025","passed","Tue Jul 01 16:04:05 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产派工单，期望创建成功","943","创建派工单","TestCase.integration_tests","Tue Jul 01 16:04:09 CST 2025","passed","Tue Jul 01 16:04:10 CST 2025","TestMainProcess","test_mainprocess","",""
"","26","查询车间","TestCase.functional_tests","Tue Jul 01 16:03:17 CST 2025","failed","Tue Jul 01 16:03:17 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","15","物料BOM唯一性校验","TestCase.functional_tests","Tue Jul 01 16:03:23 CST 2025","passed","Tue Jul 01 16:03:23 CST 2025","TestMaterials","test_materials","",""
"删除测试创建的物料，期望删除成功","161","删除物料","TestCase.integration_tests","Tue Jul 01 16:04:26 CST 2025","passed","Tue Jul 01 16:04:26 CST 2025","TestMainProcess","test_mainprocess","",""
"","17","查询产线","TestCase.functional_tests","Tue Jul 01 16:03:17 CST 2025","passed","Tue Jul 01 16:03:17 CST 2025","TestFactoryStructure","test_factory_structure","",""
"扫描产品标签，期望扫描成功","43","扫描标签","TestCase.integration_tests","Tue Jul 01 16:04:23 CST 2025","passed","Tue Jul 01 16:04:23 CST 2025","TestMainProcess","test_mainprocess","",""
"下达生产计划，期望下达成功","627","下达生产计划","TestCase.integration_tests","Tue Jul 01 16:04:08 CST 2025","passed","Tue Jul 01 16:04:09 CST 2025","TestMainProcess","test_mainprocess","",""
"提交生产报工，期望报工成功","1060","生产报工","TestCase.integration_tests","Tue Jul 01 16:04:24 CST 2025","passed","Tue Jul 01 16:04:25 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","41","新增物料BOM","TestCase.integration_tests","Tue Jul 01 16:04:04 CST 2025","passed","Tue Jul 01 16:04:04 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","312","标签拆分","TestCase.integration_tests","Tue Jul 01 16:04:23 CST 2025","passed","Tue Jul 01 16:04:23 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","334","确认生产计划","TestCase.integration_tests","Tue Jul 01 16:04:08 CST 2025","passed","Tue Jul 01 16:04:08 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工艺路线，期望删除成功","39","删除工艺路线","TestCase.integration_tests","Tue Jul 01 16:04:25 CST 2025","passed","Tue Jul 01 16:04:25 CST 2025","TestMainProcess","test_mainprocess","",""
"","91","新增设备台账","TestCase.functional_tests","Tue Jul 01 16:03:15 CST 2025","passed","Tue Jul 01 16:03:15 CST 2025","TestEquipment","test_equipment","",""
"","77","物料唯一性校验","TestCase.functional_tests","Tue Jul 01 16:03:23 CST 2025","passed","Tue Jul 01 16:03:23 CST 2025","TestMaterials","test_materials","",""
"转移产品标签，期望转移成功","1","标签转移","TestCase.integration_tests","Tue Jul 01 16:04:23 CST 2025","passed","Tue Jul 01 16:04:23 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","1","标签合并","TestCase.integration_tests","Tue Jul 01 16:04:23 CST 2025","passed","Tue Jul 01 16:04:23 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","1","标签完工","TestCase.integration_tests","Tue Jul 01 16:04:23 CST 2025","passed","Tue Jul 01 16:04:23 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工序，期望新增成功","21","新增工序","TestCase.integration_tests","Tue Jul 01 16:04:04 CST 2025","passed","Tue Jul 01 16:04:04 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","153","删除物料BOM","TestCase.integration_tests","Tue Jul 01 16:04:26 CST 2025","passed","Tue Jul 01 16:04:26 CST 2025","TestMainProcess","test_mainprocess","",""
"","32","扫描标签","TestCase.functional_tests","Tue Jul 01 16:03:19 CST 2025","passed","Tue Jul 01 16:03:20 CST 2025","TestLabel","test_label","",""
"新增工艺路线ESOP文件，期望新增成功","165","新增工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 16:04:07 CST 2025","passed","Tue Jul 01 16:04:07 CST 2025","TestMainProcess","test_mainprocess","",""
"查询检验单，提取检验单号","3848","查询检验单","TestCase.integration_tests","Tue Jul 01 16:04:13 CST 2025","passed","Tue Jul 01 16:04:16 CST 2025","TestMainProcess","test_mainprocess","",""
"","36","查询物料BOM","TestCase.functional_tests","Tue Jul 01 16:03:23 CST 2025","passed","Tue Jul 01 16:03:23 CST 2025","TestMaterials","test_materials","",""
"下达派工单，期望下达成功","232","派工单下达","TestCase.integration_tests","Tue Jul 01 16:04:10 CST 2025","passed","Tue Jul 01 16:04:10 CST 2025","TestMainProcess","test_mainprocess","",""
