"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"完成生产作业，期望完工成功","337","生产完工","TestCase.test_integration","Sun Jul 13 16:26:29 CST 2025","passed","Sun Jul 13 16:26:29 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","0","标签完工","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产线，期望删除成功","207","删除产线","TestCase.test_integration","Sun Jul 13 16:26:30 CST 2025","passed","Sun Jul 13 16:26:30 CST 2025","TestMainProcess","test_mainprocess","",""
"提交质量检验结果，期望提交成功","9795","提交检验结果","TestCase.test_integration","Sun Jul 13 16:26:17 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
"报废产品标签，期望报废成功","0","标签报废","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","206","删除车间","TestCase.test_integration","Sun Jul 13 16:26:30 CST 2025","passed","Sun Jul 13 16:26:30 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","9023","开始检验","TestCase.test_integration","Sun Jul 13 16:26:08 CST 2025","passed","Sun Jul 13 16:26:17 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料，期望删除成功","276","删除物料","TestCase.test_integration","Sun Jul 13 16:26:30 CST 2025","passed","Sun Jul 13 16:26:31 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","98","安灯签到","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:28 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯处理确认接口，期望成功","192","安灯处理确认","TestCase.test_integration","Sun Jul 13 16:26:28 CST 2025","passed","Sun Jul 13 16:26:28 CST 2025","TestMainProcess","test_mainprocess","",""
"删除安灯规则，期望删除成功","186","删除安灯规则","TestCase.test_integration","Sun Jul 13 16:26:31 CST 2025","passed","Sun Jul 13 16:26:31 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","197","确认上料","TestCase.test_integration","Sun Jul 13 16:26:28 CST 2025","passed","Sun Jul 13 16:26:28 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼结束接口，期望成功","130","安灯结束处理","TestCase.test_integration","Sun Jul 13 16:26:28 CST 2025","passed","Sun Jul 13 16:26:28 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产品工艺路线，期望删除成功","211","删除产品工艺路线","TestCase.test_integration","Sun Jul 13 16:26:29 CST 2025","passed","Sun Jul 13 16:26:30 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","97","安灯呼叫","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","2069","清理测试数据","TestCase.test_integration","Sun Jul 13 16:26:31 CST 2025","passed","Sun Jul 13 16:26:33 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描上料标签SN，期望扫描成功","186","上料扫描SN","TestCase.test_integration","Sun Jul 13 16:26:28 CST 2025","passed","Sun Jul 13 16:26:28 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","182","标签拆分","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工艺路线，期望删除成功","199","删除工艺路线","TestCase.test_integration","Sun Jul 13 16:26:29 CST 2025","passed","Sun Jul 13 16:26:29 CST 2025","TestMainProcess","test_mainprocess","",""
"转移产品标签，期望转移成功","0","标签转移","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯开始处理接口，期望成功","56","安灯开始处理","TestCase.test_integration","Sun Jul 13 16:26:28 CST 2025","passed","Sun Jul 13 16:26:28 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工序，期望删除成功","167","删除工序","TestCase.test_integration","Sun Jul 13 16:26:29 CST 2025","passed","Sun Jul 13 16:26:29 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建设备台账，期望删除成功","190","删除设备台账","TestCase.test_integration","Sun Jul 13 16:26:30 CST 2025","passed","Sun Jul 13 16:26:30 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","140","删除物料BOM","TestCase.test_integration","Sun Jul 13 16:26:30 CST 2025","passed","Sun Jul 13 16:26:30 CST 2025","TestMainProcess","test_mainprocess","",""
"提交生产报工，期望报工成功","206","生产报工","TestCase.test_integration","Sun Jul 13 16:26:28 CST 2025","passed","Sun Jul 13 16:26:29 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","0","标签合并","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","56","扫描标签","TestCase.test_integration","Sun Jul 13 16:26:27 CST 2025","passed","Sun Jul 13 16:26:27 CST 2025","TestMainProcess","test_mainprocess","",""
