"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用重复的信息新建设备，新建失败","1235","新建设备校验唯一","TestCase.functional_tests.test_equipment_management","Fri May 30 10:51:09 CST 2025","passed","Fri May 30 10:51:10 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"删除工艺路线，删除成功","1359","删除工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:19 CST 2025","passed","Fri May 30 10:51:20 CST 2025","TestProcessRelated","test_process_related","",""
"新增重复工艺路线，新增失败","1258","新增重复工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:17 CST 2025","passed","Fri May 30 10:51:19 CST 2025","TestProcessRelated","test_process_related","",""
"删除设备，删除成功","1237","删除设备","TestCase.functional_tests.test_equipment_management","Fri May 30 10:51:10 CST 2025","passed","Fri May 30 10:51:11 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"使用符合要求的信息创建工序，创建成功","2475","创建工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:11 CST 2025","passed","Fri May 30 10:51:14 CST 2025","TestProcessRelated","test_process_related","",""
"产品绑定工艺路线，绑定成功","5153","产品绑定工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:21 CST 2025","passed","Fri May 30 10:51:26 CST 2025","TestProcessRelated","test_process_related","",""
"新增符合要求的工艺路线，新增成功","1149","新增工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:16 CST 2025","passed","Fri May 30 10:51:17 CST 2025","TestProcessRelated","test_process_related","",""
"正确账号错误密码登陆，登陆失败并给出相应的提示","201","正确账号错误密码登陆","TestCase.functional_tests","Fri May 30 10:51:42 CST 2025","passed","Fri May 30 10:51:43 CST 2025","TestLogin","test_login","",""
"删除已存在的工序，删除成功","1177","删除工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:15 CST 2025","passed","Fri May 30 10:51:16 CST 2025","TestProcessRelated","test_process_related","",""
"使用符合要求的物料信息创建物料，创建成功","2568","创建物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:28 CST 2025","passed","Fri May 30 10:51:30 CST 2025","TestProductMaterials","test_product_materials","",""
"错误账号正确密码登陆，登陆失败并给出相应的提示","57","错误账号正确密码登陆","TestCase.functional_tests","Fri May 30 10:51:43 CST 2025","passed","Fri May 30 10:51:43 CST 2025","TestLogin","test_login","",""
"创建重复代码物料，创建失败并给出相应的提示","1324","创建重复代码物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:30 CST 2025","passed","Fri May 30 10:51:32 CST 2025","TestProductMaterials","test_product_materials","",""
"使用重复的工序代码，创建失败","1230","创建工序校验重复","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:14 CST 2025","passed","Fri May 30 10:51:15 CST 2025","TestProcessRelated","test_process_related","",""
"使用已有的物料查询，查询成功","1340","查询物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:32 CST 2025","passed","Fri May 30 10:51:33 CST 2025","TestProductMaterials","test_product_materials","",""
"新增已有的物料和不存在的BOM，新增成功","2410","新建物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:35 CST 2025","passed","Fri May 30 10:51:37 CST 2025","TestProductMaterials","test_product_materials","",""
"使用已有的物料删除，删除成功","1571","删除物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:33 CST 2025","passed","Fri May 30 10:51:35 CST 2025","TestProductMaterials","test_product_materials","",""
"查询存在的物料BOM，数据正确","1331","查询物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:37 CST 2025","passed","Fri May 30 10:51:38 CST 2025","TestProductMaterials","test_product_materials","",""
"工艺路线绑定工序，绑定成功","1291","工艺路线绑定工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:20 CST 2025","passed","Fri May 30 10:51:21 CST 2025","TestProcessRelated","test_process_related","",""
"产品工序BOM绑定，绑定成功","1393","产品工序BOM绑定","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:26 CST 2025","passed","Fri May 30 10:51:28 CST 2025","TestProcessRelated","test_process_related","",""
"使用正确的账号和密码登录，登陆成功","169","正确账号密码登陆","TestCase.functional_tests","Fri May 30 10:51:42 CST 2025","passed","Fri May 30 10:51:42 CST 2025","TestLogin","test_login","",""
"删除存在的物料BOM，删除成功","3918","删除物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 10:51:38 CST 2025","passed","Fri May 30 10:51:42 CST 2025","TestProductMaterials","test_product_materials","",""
"使用符合要求的信息新建设备，新建成功","2385","新建设备","TestCase.functional_tests.test_equipment_management","Fri May 30 10:51:06 CST 2025","passed","Fri May 30 10:51:09 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
