"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"查询设备台账，提取设备ID","16","查询设备台账","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","passed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"下达派工单，期望下达成功","112","派工单下达","TestCase.integration_tests","Mon Jul 07 10:31:21 CST 2025","passed","Mon Jul 07 10:31:22 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","58","新增物料BOM明细","TestCase.integration_tests","Mon Jul 07 10:31:18 CST 2025","passed","Mon Jul 07 10:31:18 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","55","确认上料","TestCase.integration_tests","Mon Jul 07 10:31:30 CST 2025","passed","Mon Jul 07 10:31:30 CST 2025","TestMainProcess","test_mainprocess","",""
"创建一条新的物料信息，期望新增成功","64","新增物料","TestCase.integration_tests","Mon Jul 07 10:31:18 CST 2025","passed","Mon Jul 07 10:31:18 CST 2025","TestMainProcess","test_mainprocess","",""
"","49","test_03_material_uniqueness","TestCase.functional_tests","Mon Jul 07 10:30:30 CST 2025","passed","Mon Jul 07 10:30:30 CST 2025","TestMaterials","test_materials","",""
"删除测试创建设备台账，期望删除成功","31","删除设备台账","TestCase.integration_tests","Mon Jul 07 10:31:31 CST 2025","passed","Mon Jul 07 10:31:31 CST 2025","TestMainProcess","test_mainprocess","",""
"审核ESOP文件，期望审核成功","48","审核ESOP文件","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","passed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"","20","删除工艺路线","TestCase.functional_tests","Mon Jul 07 10:30:33 CST 2025","passed","Mon Jul 07 10:30:33 CST 2025","TestProcess","test_process","",""
"","112","删除物料","TestCase.functional_tests","Mon Jul 07 10:30:30 CST 2025","passed","Mon Jul 07 10:30:30 CST 2025","TestMaterials","test_materials","",""
"查询车间，提取车间ID","26","查询车间","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","failed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"","22","test_06_route_uniqueness","TestCase.functional_tests","Mon Jul 07 10:30:33 CST 2025","passed","Mon Jul 07 10:30:33 CST 2025","TestProcess","test_process","",""
"新增工艺路线，期望新增成功","20","新增工艺路线","TestCase.integration_tests","Mon Jul 07 10:31:19 CST 2025","passed","Mon Jul 07 10:31:19 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_01_add_process","TestCase.functional_tests","Mon Jul 07 10:30:33 CST 2025","passed","Mon Jul 07 10:30:33 CST 2025","TestProcess","test_process","",""
"转移产品标签，期望转移成功","3","标签转移","TestCase.integration_tests","Mon Jul 07 10:31:30 CST 2025","passed","Mon Jul 07 10:31:30 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料，期望删除成功","124","删除物料","TestCase.integration_tests","Mon Jul 07 10:31:31 CST 2025","passed","Mon Jul 07 10:31:31 CST 2025","TestMainProcess","test_mainprocess","",""
"","66","test_07_delete_production_line","TestCase.functional_tests","Mon Jul 07 10:30:23 CST 2025","passed","Mon Jul 07 10:30:23 CST 2025","TestFactoryStructure","test_factory_structure","",""
"新增工艺路线ESOP文件，期望新增成功","106","新增工艺路线ESOP文件","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","passed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","21","查询产品工艺路线","TestCase.integration_tests","Mon Jul 07 10:31:19 CST 2025","passed","Mon Jul 07 10:31:19 CST 2025","TestMainProcess","test_mainprocess","",""
"下达生产计划，期望下达成功","350","下达生产计划","TestCase.integration_tests","Mon Jul 07 10:31:21 CST 2025","passed","Mon Jul 07 10:31:21 CST 2025","TestMainProcess","test_mainprocess","",""
"新增车间，期望新增成功","33","新增车间","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","failed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工序，期望新增成功","27","新增工序","TestCase.integration_tests","Mon Jul 07 10:31:19 CST 2025","passed","Mon Jul 07 10:31:19 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","262","标签拆分","TestCase.integration_tests","Mon Jul 07 10:31:29 CST 2025","passed","Mon Jul 07 10:31:30 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","197","确认生产计划","TestCase.integration_tests","Mon Jul 07 10:31:21 CST 2025","passed","Mon Jul 07 10:31:21 CST 2025","TestMainProcess","test_mainprocess","",""
"","15","test_08_delete_workshop","TestCase.functional_tests","Mon Jul 07 10:30:23 CST 2025","passed","Mon Jul 07 10:30:23 CST 2025","TestFactoryStructure","test_factory_structure","",""
"工艺路线绑定工序，期望绑定成功","71","工艺路线绑定工序","TestCase.integration_tests","Mon Jul 07 10:31:19 CST 2025","passed","Mon Jul 07 10:31:19 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产品工艺路线，期望删除成功","100","删除产品工艺路线","TestCase.integration_tests","Mon Jul 07 10:31:30 CST 2025","passed","Mon Jul 07 10:31:31 CST 2025","TestMainProcess","test_mainprocess","",""
"新增ESOP文件，期望新增成功","138","新增ESOP文件","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","passed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"","42","扫描标签","TestCase.functional_tests","Mon Jul 07 10:30:25 CST 2025","passed","Mon Jul 07 10:30:25 CST 2025","TestLabel","test_label","",""
"查询已创建的派工单，提取派工单号","30","查询派工单","TestCase.integration_tests","Mon Jul 07 10:31:21 CST 2025","passed","Mon Jul 07 10:31:21 CST 2025","TestMainProcess","test_mainprocess","",""
"","38","删除工序","TestCase.functional_tests","Mon Jul 07 10:30:33 CST 2025","passed","Mon Jul 07 10:30:33 CST 2025","TestProcess","test_process","",""
"查看生产SOP文档，期望查看成功","15","查看SOP","TestCase.integration_tests","Mon Jul 07 10:31:22 CST 2025","passed","Mon Jul 07 10:31:22 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","2","标签合并","TestCase.integration_tests","Mon Jul 07 10:31:30 CST 2025","passed","Mon Jul 07 10:31:30 CST 2025","TestMainProcess","test_mainprocess","",""
"查询物料BOM，提取BOM ID","535","查询物料BOM","TestCase.integration_tests","Mon Jul 07 10:31:18 CST 2025","passed","Mon Jul 07 10:31:19 CST 2025","TestMainProcess","test_mainprocess","",""
"","15","删除物料BOM","TestCase.functional_tests","Mon Jul 07 10:30:30 CST 2025","passed","Mon Jul 07 10:30:30 CST 2025","TestMaterials","test_materials","",""
"","1","test_04_add_route","TestCase.functional_tests","Mon Jul 07 10:30:33 CST 2025","passed","Mon Jul 07 10:30:33 CST 2025","TestProcess","test_process","",""
"产品工序BOM绑定，期望绑定成功","137","产品工序BOM绑定","TestCase.integration_tests","Mon Jul 07 10:31:19 CST 2025","passed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描上料标签SN，期望扫描成功","65","上料扫描SN","TestCase.integration_tests","Mon Jul 07 10:31:30 CST 2025","passed","Mon Jul 07 10:31:30 CST 2025","TestMainProcess","test_mainprocess","",""
"创建首检检验单，期望创建成功","65","创建首检单","TestCase.integration_tests","Mon Jul 07 10:31:22 CST 2025","passed","Mon Jul 07 10:31:22 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","132","生产完工","TestCase.integration_tests","Mon Jul 07 10:31:30 CST 2025","passed","Mon Jul 07 10:31:30 CST 2025","TestMainProcess","test_mainprocess","",""
"审核工艺路线ESOP文件，期望审核成功","79","审核工艺路线ESOP文件","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","passed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"","25","test_06_production_line_uniqueness","TestCase.functional_tests","Mon Jul 07 10:30:23 CST 2025","passed","Mon Jul 07 10:30:23 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","23","test_02_query_process","TestCase.functional_tests","Mon Jul 07 10:30:33 CST 2025","passed","Mon Jul 07 10:30:33 CST 2025","TestProcess","test_process","",""
"创建检验方案，期望创建成功","63","创建检验方案","TestCase.integration_tests","Mon Jul 07 10:31:21 CST 2025","passed","Mon Jul 07 10:31:21 CST 2025","TestMainProcess","test_mainprocess","",""
"查询检验单，提取检验单号","2177","查询检验单","TestCase.integration_tests","Mon Jul 07 10:31:22 CST 2025","passed","Mon Jul 07 10:31:24 CST 2025","TestMainProcess","test_mainprocess","",""
"","16","标签拆分","TestCase.functional_tests","Mon Jul 07 10:30:25 CST 2025","passed","Mon Jul 07 10:30:25 CST 2025","TestLabel","test_label","",""
"","28","test_05_query_route","TestCase.functional_tests","Mon Jul 07 10:30:33 CST 2025","passed","Mon Jul 07 10:30:33 CST 2025","TestProcess","test_process","",""
"创建生产派工单，期望创建成功","163","创建派工单","TestCase.integration_tests","Mon Jul 07 10:31:21 CST 2025","passed","Mon Jul 07 10:31:21 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_01_add_material","TestCase.functional_tests","Mon Jul 07 10:30:30 CST 2025","passed","Mon Jul 07 10:30:30 CST 2025","TestMaterials","test_materials","",""
"为物料新增BOM，期望新增成功","52","新增物料BOM","TestCase.integration_tests","Mon Jul 07 10:31:18 CST 2025","passed","Mon Jul 07 10:31:18 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","51","扫描标签","TestCase.integration_tests","Mon Jul 07 10:31:29 CST 2025","passed","Mon Jul 07 10:31:29 CST 2025","TestMainProcess","test_mainprocess","",""
"新增设备台账，期望新增成功","27","新增设备台账","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","passed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","49","新增产线","TestCase.integration_tests","Mon Jul 07 10:31:20 CST 2025","failed","Mon Jul 07 10:31:20 CST 2025","TestMainProcess","test_mainprocess","",""
"开始生产作业，期望启动成功","192","开始生产","TestCase.integration_tests","Mon Jul 07 10:31:22 CST 2025","passed","Mon Jul 07 10:31:22 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","319","清理测试数据","TestCase.integration_tests","Mon Jul 07 10:31:31 CST 2025","passed","Mon Jul 07 10:31:31 CST 2025","TestMainProcess","test_mainprocess","",""
"","26","test_06_bom_uniqueness","TestCase.functional_tests","Mon Jul 07 10:30:30 CST 2025","passed","Mon Jul 07 10:30:30 CST 2025","TestMaterials","test_materials","",""
"删除测试创建的产线，期望删除成功","51","删除产线","TestCase.integration_tests","Mon Jul 07 10:31:31 CST 2025","passed","Mon Jul 07 10:31:31 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","2","删除车间","TestCase.integration_tests","Mon Jul 07 10:31:31 CST 2025","passed","Mon Jul 07 10:31:31 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","2","标签完工","TestCase.integration_tests","Mon Jul 07 10:31:30 CST 2025","passed","Mon Jul 07 10:31:30 CST 2025","TestMainProcess","test_mainprocess","",""
"查询已创建的物料，提取物料ID","204","查询物料","TestCase.integration_tests","Mon Jul 07 10:31:18 CST 2025","passed","Mon Jul 07 10:31:18 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","49","删除物料BOM","TestCase.integration_tests","Mon Jul 07 10:31:31 CST 2025","passed","Mon Jul 07 10:31:31 CST 2025","TestMainProcess","test_mainprocess","",""
