"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"新增车间，期望新增成功","47","新增车间","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"报废产品标签，期望报废成功","2","标签报废","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","135","生产完工","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"","44","test_05_query_bom","TestCase.functional_tests","Thu Jul 10 15:11:28 CST 2025","passed","Thu Jul 10 15:11:28 CST 2025","TestMaterials","test_materials","",""
"新增产线，期望新增成功","50","新增产线","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"查询物料BOM，提取BOM ID","589","查询物料BOM","TestCase.integration_tests","Thu Jul 10 15:12:06 CST 2025","passed","Thu Jul 10 15:12:07 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","35","新增工艺路线","TestCase.integration_tests","Thu Jul 10 15:12:07 CST 2025","passed","Thu Jul 10 15:12:07 CST 2025","TestMainProcess","test_mainprocess","",""
"","38","test_05_query_route","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"查询已创建的派工单，提取派工单号","39","查询派工单","TestCase.integration_tests","Thu Jul 10 15:12:09 CST 2025","passed","Thu Jul 10 15:12:09 CST 2025","TestMainProcess","test_mainprocess","",""
"创建一条新的物料信息，期望新增成功","58","新增物料","TestCase.integration_tests","Thu Jul 10 15:12:06 CST 2025","passed","Thu Jul 10 15:12:06 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建设备台账，期望删除成功","38","删除设备台账","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","37","确认上料","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","36","工艺路线绑定工序","TestCase.integration_tests","Thu Jul 10 15:12:07 CST 2025","passed","Thu Jul 10 15:12:07 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料，期望删除成功","379","删除物料","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:18 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工序，提取工序ID","31","查询工序","TestCase.integration_tests","Thu Jul 10 15:12:07 CST 2025","passed","Thu Jul 10 15:12:07 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","39","扫描标签","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"","29","test_06_production_line_uniqueness","TestCase.functional_tests","Thu Jul 10 15:11:22 CST 2025","passed","Thu Jul 10 15:11:22 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","34","test_03_workshop_uniqueness","TestCase.functional_tests","Thu Jul 10 15:11:22 CST 2025","passed","Thu Jul 10 15:11:22 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","32","test_06_route_uniqueness","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"","0","test_04_add_route","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"查询设备台账，提取设备ID","23","查询设备台账","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"","34","删除物料BOM","TestCase.functional_tests","Thu Jul 10 15:11:28 CST 2025","passed","Thu Jul 10 15:11:28 CST 2025","TestMaterials","test_materials","",""
"","124","删除物料","TestCase.functional_tests","Thu Jul 10 15:11:28 CST 2025","passed","Thu Jul 10 15:11:28 CST 2025","TestMaterials","test_materials","",""
"","36","删除工艺路线","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"查看生产SOP文档，期望查看成功","25","查看SOP","TestCase.integration_tests","Thu Jul 10 15:12:10 CST 2025","passed","Thu Jul 10 15:12:10 CST 2025","TestMainProcess","test_mainprocess","",""
"删除安灯规则，期望删除成功","35","删除安灯规则","TestCase.integration_tests","Thu Jul 10 15:12:18 CST 2025","passed","Thu Jul 10 15:12:18 CST 2025","TestMainProcess","test_mainprocess","",""
"查询检验单，提取检验单号","1456","查询检验单","TestCase.integration_tests","Thu Jul 10 15:12:10 CST 2025","passed","Thu Jul 10 15:12:11 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","25","新增物料BOM","TestCase.integration_tests","Thu Jul 10 15:12:06 CST 2025","passed","Thu Jul 10 15:12:06 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","26","新增物料BOM明细","TestCase.integration_tests","Thu Jul 10 15:12:06 CST 2025","passed","Thu Jul 10 15:12:06 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","37","查询产品工艺路线","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"新增设备台账，期望新增成功","25","新增设备台账","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"","36","删除工序","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"删除测试创建的产品工艺路线，期望删除成功","101","删除产品工艺路线","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"开始生产作业，期望启动成功","155","开始生产","TestCase.integration_tests","Thu Jul 10 15:12:09 CST 2025","passed","Thu Jul 10 15:12:10 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定产品，期望绑定成功","551","工艺路线绑定产品","TestCase.integration_tests","Thu Jul 10 15:12:07 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工序，期望删除成功","43","删除工序","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","3","标签完工","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"","62","扫描标签","TestCase.functional_tests","Thu Jul 10 15:11:23 CST 2025","passed","Thu Jul 10 15:11:24 CST 2025","TestLabel","test_label","",""
"删除测试创建的车间，期望删除成功","71","删除车间","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"审核ESOP文件，期望审核成功","68","审核ESOP文件","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"产品绑定工艺路线，期望绑定成功","30","产品绑定工艺路线","TestCase.integration_tests","Thu Jul 10 15:12:07 CST 2025","passed","Thu Jul 10 15:12:07 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产线，提取产线ID","30","查询产线","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"审核工艺路线ESOP文件，期望审核成功","60","审核工艺路线ESOP文件","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","194","标签拆分","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工序，期望新增成功","38","新增工序","TestCase.integration_tests","Thu Jul 10 15:12:07 CST 2025","passed","Thu Jul 10 15:12:07 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","80","确认生产计划","TestCase.integration_tests","Thu Jul 10 15:12:09 CST 2025","passed","Thu Jul 10 15:12:09 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工艺路线，期望删除成功","40","删除工艺路线","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"","58","test_07_delete_production_line","TestCase.functional_tests","Thu Jul 10 15:11:22 CST 2025","passed","Thu Jul 10 15:11:22 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","40","test_02_query_process","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"创建生产计划，期望创建成功","68","创建生产计划","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:09 CST 2025","TestMainProcess","test_mainprocess","",""
"下达生产计划，期望下达成功","534","下达生产计划","TestCase.integration_tests","Thu Jul 10 15:12:09 CST 2025","passed","Thu Jul 10 15:12:09 CST 2025","TestMainProcess","test_mainprocess","",""
"","27","test_05_query_production_line","TestCase.functional_tests","Thu Jul 10 15:11:22 CST 2025","passed","Thu Jul 10 15:11:22 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","32","test_06_bom_uniqueness","TestCase.functional_tests","Thu Jul 10 15:11:28 CST 2025","passed","Thu Jul 10 15:11:28 CST 2025","TestMaterials","test_materials","",""
"提交生产报工，期望报工成功","399","生产报工","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描上料标签SN，期望扫描成功","65","上料扫描SN","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","34","查询车间","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产派工单，期望创建成功","160","创建派工单","TestCase.integration_tests","Thu Jul 10 15:12:09 CST 2025","passed","Thu Jul 10 15:12:09 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","45","删除物料BOM","TestCase.integration_tests","Thu Jul 10 15:12:17 CST 2025","passed","Thu Jul 10 15:12:17 CST 2025","TestMainProcess","test_mainprocess","",""
"","25","test_08_delete_workshop","TestCase.functional_tests","Thu Jul 10 15:11:22 CST 2025","passed","Thu Jul 10 15:11:22 CST 2025","TestFactoryStructure","test_factory_structure","",""
"查询已创建的物料，提取物料ID","381","查询物料","TestCase.integration_tests","Thu Jul 10 15:12:06 CST 2025","passed","Thu Jul 10 15:12:06 CST 2025","TestMainProcess","test_mainprocess","",""
"","35","test_03_process_uniqueness","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"","70","test_03_material_uniqueness","TestCase.functional_tests","Thu Jul 10 15:11:28 CST 2025","passed","Thu Jul 10 15:11:28 CST 2025","TestMaterials","test_materials","",""
"新增ESOP文件，期望新增成功","91","新增ESOP文件","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"","29","标签拆分","TestCase.functional_tests","Thu Jul 10 15:11:24 CST 2025","passed","Thu Jul 10 15:11:24 CST 2025","TestLabel","test_label","",""
"查询工艺路线，提取工艺路线ID","20","查询工艺路线","TestCase.integration_tests","Thu Jul 10 15:12:07 CST 2025","passed","Thu Jul 10 15:12:07 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","742","清理测试数据","TestCase.integration_tests","Thu Jul 10 15:12:18 CST 2025","passed","Thu Jul 10 15:12:19 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_01_add_process","TestCase.functional_tests","Thu Jul 10 15:11:30 CST 2025","passed","Thu Jul 10 15:11:30 CST 2025","TestProcess","test_process","",""
"提交质量检验结果，期望提交成功","2973","提交检验结果","TestCase.integration_tests","Thu Jul 10 15:12:13 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"产品工序BOM绑定，期望绑定成功","89","产品工序BOM绑定","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","2","标签合并","TestCase.integration_tests","Thu Jul 10 15:12:16 CST 2025","passed","Thu Jul 10 15:12:16 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线ESOP文件，期望新增成功","157","新增工艺路线ESOP文件","TestCase.integration_tests","Thu Jul 10 15:12:08 CST 2025","passed","Thu Jul 10 15:12:08 CST 2025","TestMainProcess","test_mainprocess","",""
