"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"查询产线，提取产线ID","18","查询产线","TestCase.integration_tests","Tue Jul 01 16:25:51 CST 2025","passed","Tue Jul 01 16:25:51 CST 2025","TestMainProcess","test_mainprocess","",""
"","19","标签拆分","TestCase.functional_tests","Tue Jul 01 16:25:14 CST 2025","passed","Tue Jul 01 16:25:14 CST 2025","TestLabel","test_label","",""
"","33","test_03_workshop_uniqueness","TestCase.functional_tests","Tue Jul 01 16:25:12 CST 2025","passed","Tue Jul 01 16:25:12 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","22","test_06_production_line_uniqueness","TestCase.functional_tests","Tue Jul 01 16:25:12 CST 2025","passed","Tue Jul 01 16:25:12 CST 2025","TestFactoryStructure","test_factory_structure","",""
"产品工序BOM绑定，期望绑定成功","103","产品工序BOM绑定","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料，期望删除成功","119","删除物料","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:58 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","1668","开始检验","TestCase.integration_tests","Tue Jul 01 16:25:53 CST 2025","passed","Tue Jul 01 16:25:55 CST 2025","TestMainProcess","test_mainprocess","",""
"查看生产SOP文档，期望查看成功","20","查看SOP","TestCase.integration_tests","Tue Jul 01 16:25:51 CST 2025","passed","Tue Jul 01 16:25:52 CST 2025","TestMainProcess","test_mainprocess","",""
"新增车间，期望新增成功","37","新增车间","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","29","新增工艺路线","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"","27","test_08_delete_workshop","TestCase.functional_tests","Tue Jul 01 16:25:12 CST 2025","passed","Tue Jul 01 16:25:12 CST 2025","TestFactoryStructure","test_factory_structure","",""
"创建首检检验单，期望创建成功","42","创建首检单","TestCase.integration_tests","Tue Jul 01 16:25:52 CST 2025","passed","Tue Jul 01 16:25:52 CST 2025","TestMainProcess","test_mainprocess","",""
"查询物料BOM，提取BOM ID","133","查询物料BOM","TestCase.integration_tests","Tue Jul 01 16:25:49 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","test_04_add_bom","TestCase.functional_tests","Tue Jul 01 16:25:17 CST 2025","failed","Tue Jul 01 16:25:17 CST 2025","TestMaterials","test_materials","",""
"产品绑定工艺路线，期望绑定成功","21","产品绑定工艺路线","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工序，期望删除成功","18","删除工序","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
"","24","新增设备台账","TestCase.functional_tests","Tue Jul 01 16:25:10 CST 2025","failed","Tue Jul 01 16:25:10 CST 2025","TestEquipment","test_equipment","",""
"查询检验单，提取检验单号","1552","查询检验单","TestCase.integration_tests","Tue Jul 01 16:25:52 CST 2025","passed","Tue Jul 01 16:25:53 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","329","清理测试数据","TestCase.integration_tests","Tue Jul 01 16:25:58 CST 2025","passed","Tue Jul 01 16:25:58 CST 2025","TestMainProcess","test_mainprocess","",""
"","22","test_02_query_workshop","TestCase.functional_tests","Tue Jul 01 16:25:12 CST 2025","failed","Tue Jul 01 16:25:12 CST 2025","TestFactoryStructure","test_factory_structure","",""
"新增工艺路线ESOP文件，期望新增成功","78","新增工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"","41","test_07_delete_production_line","TestCase.functional_tests","Tue Jul 01 16:25:12 CST 2025","passed","Tue Jul 01 16:25:12 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","24","test_03_process_uniqueness","TestCase.functional_tests","Tue Jul 01 16:25:19 CST 2025","passed","Tue Jul 01 16:25:19 CST 2025","TestProcess","test_process","",""
"工艺路线绑定产品，期望绑定成功","173","工艺路线绑定产品","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","27","查询产品工艺路线","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工艺路线，提取工艺路线ID","23","查询工艺路线","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建设备台账，期望删除成功","27","删除设备台账","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","33","工艺路线绑定工序","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"","17","查询设备台账","TestCase.functional_tests","Tue Jul 01 16:25:10 CST 2025","passed","Tue Jul 01 16:25:10 CST 2025","TestEquipment","test_equipment","",""
"确认生产计划，期望确认成功","71","确认生产计划","TestCase.integration_tests","Tue Jul 01 16:25:51 CST 2025","passed","Tue Jul 01 16:25:51 CST 2025","TestMainProcess","test_mainprocess","",""
"创建检验方案，期望创建成功","43","创建检验方案","TestCase.integration_tests","Tue Jul 01 16:25:51 CST 2025","passed","Tue Jul 01 16:25:51 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_01_add_process","TestCase.functional_tests","Tue Jul 01 16:25:19 CST 2025","passed","Tue Jul 01 16:25:19 CST 2025","TestProcess","test_process","",""
"","21","删除设备台账","TestCase.functional_tests","Tue Jul 01 16:25:10 CST 2025","passed","Tue Jul 01 16:25:10 CST 2025","TestEquipment","test_equipment","",""
"","1","test_01_add_workshop","TestCase.functional_tests","Tue Jul 01 16:25:12 CST 2025","failed","Tue Jul 01 16:25:12 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","12","删除物料BOM","TestCase.functional_tests","Tue Jul 01 16:25:17 CST 2025","passed","Tue Jul 01 16:25:17 CST 2025","TestMaterials","test_materials","",""
"","36","test_06_bom_uniqueness","TestCase.functional_tests","Tue Jul 01 16:25:17 CST 2025","passed","Tue Jul 01 16:25:17 CST 2025","TestMaterials","test_materials","",""
"删除测试创建的产品工艺路线，期望删除成功","54","删除产品工艺路线","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
"报废产品标签，期望报废成功","2","标签报废","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
"","170","test_02_query_material","TestCase.functional_tests","Tue Jul 01 16:25:17 CST 2025","passed","Tue Jul 01 16:25:17 CST 2025","TestMaterials","test_materials","",""
"提交质量检验结果，期望提交成功","1789","提交检验结果","TestCase.integration_tests","Tue Jul 01 16:25:55 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描上料标签SN，期望扫描成功","43","上料扫描SN","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_01_add_material","TestCase.functional_tests","Tue Jul 01 16:25:17 CST 2025","passed","Tue Jul 01 16:25:17 CST 2025","TestMaterials","test_materials","",""
"","33","test_05_query_production_line","TestCase.functional_tests","Tue Jul 01 16:25:12 CST 2025","passed","Tue Jul 01 16:25:12 CST 2025","TestFactoryStructure","test_factory_structure","",""
"审核工艺路线ESOP文件，期望审核成功","53","审核工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工序，提取工序ID","19","查询工序","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","30","新增物料BOM明细","TestCase.integration_tests","Tue Jul 01 16:25:49 CST 2025","passed","Tue Jul 01 16:25:49 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","33","查询车间","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"","116","删除物料","TestCase.functional_tests","Tue Jul 01 16:25:17 CST 2025","passed","Tue Jul 01 16:25:17 CST 2025","TestMaterials","test_materials","",""
"确认上料操作，期望确认成功","35","确认上料","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产计划，期望创建成功","58","创建生产计划","TestCase.integration_tests","Tue Jul 01 16:25:51 CST 2025","passed","Tue Jul 01 16:25:51 CST 2025","TestMainProcess","test_mainprocess","",""
"审核ESOP文件，期望审核成功","63","审核ESOP文件","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","37","新增产线","TestCase.integration_tests","Tue Jul 01 16:25:50 CST 2025","passed","Tue Jul 01 16:25:50 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","90","生产完工","TestCase.integration_tests","Tue Jul 01 16:25:57 CST 2025","passed","Tue Jul 01 16:25:57 CST 2025","TestMainProcess","test_mainprocess","",""
