"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"产品工序BOM绑定，绑定成功","1348","产品工序BOM绑定","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:00 CST 2025","passed","Fri May 30 08:17:01 CST 2025","TestProcessRelated","test_process_related","",""
"使用正确的账号和密码登录，登陆成功","170","正确账号密码登陆","TestCase.functional_tests","Fri May 30 08:17:15 CST 2025","passed","Fri May 30 08:17:15 CST 2025","TestLogin","test_login","",""
"删除已存在的工序，删除成功","1180","删除工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:49 CST 2025","passed","Fri May 30 08:16:50 CST 2025","TestProcessRelated","test_process_related","",""
"删除工艺路线，删除成功","1184","删除工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:53 CST 2025","passed","Fri May 30 08:16:54 CST 2025","TestProcessRelated","test_process_related","",""
"正确账号错误密码登陆，登陆失败并给出相应的提示","175","正确账号错误密码登陆","TestCase.functional_tests","Fri May 30 08:17:15 CST 2025","passed","Fri May 30 08:17:15 CST 2025","TestLogin","test_login","",""
"使用已有的物料删除，删除成功","1260","删除物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:06 CST 2025","passed","Fri May 30 08:17:07 CST 2025","TestProductMaterials","test_product_materials","",""
"错误账号正确密码登陆，登陆失败并给出相应的提示","20","错误账号正确密码登陆","TestCase.functional_tests","Fri May 30 08:17:15 CST 2025","passed","Fri May 30 08:17:15 CST 2025","TestLogin","test_login","",""
"使用重复的信息新建设备，新建失败","1166","新建设备校验唯一","TestCase.functional_tests.test_equipment_management","Fri May 30 08:16:43 CST 2025","passed","Fri May 30 08:16:44 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"使用符合要求的信息新建设备，新建成功","2419","新建设备","TestCase.functional_tests.test_equipment_management","Fri May 30 08:16:40 CST 2025","failed","Fri May 30 08:16:42 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"工艺路线绑定工序，绑定成功","1216","工艺路线绑定工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:54 CST 2025","passed","Fri May 30 08:16:55 CST 2025","TestProcessRelated","test_process_related","",""
"删除设备，删除成功","1171","删除设备","TestCase.functional_tests.test_equipment_management","Fri May 30 08:16:44 CST 2025","passed","Fri May 30 08:16:45 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"新增已有的物料和不存在的BOM，新增成功","2593","新建物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:07 CST 2025","passed","Fri May 30 08:17:10 CST 2025","TestProductMaterials","test_product_materials","",""
"查询存在的物料BOM，数据正确","1237","查询物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:10 CST 2025","passed","Fri May 30 08:17:11 CST 2025","TestProductMaterials","test_product_materials","",""
"使用重复的工序代码，创建失败","1282","创建工序校验重复","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:48 CST 2025","passed","Fri May 30 08:16:49 CST 2025","TestProcessRelated","test_process_related","",""
"新增重复工艺路线，新增失败","1206","新增重复工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:51 CST 2025","passed","Fri May 30 08:16:53 CST 2025","TestProcessRelated","test_process_related","",""
"新增符合要求的工艺路线，新增成功","1260","新增工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:50 CST 2025","passed","Fri May 30 08:16:51 CST 2025","TestProcessRelated","test_process_related","",""
"使用已有的物料查询，查询成功","1361","查询物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:05 CST 2025","passed","Fri May 30 08:17:06 CST 2025","TestProductMaterials","test_product_materials","",""
"产品绑定工艺路线，绑定成功","4719","产品绑定工艺路线","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:55 CST 2025","passed","Fri May 30 08:17:00 CST 2025","TestProcessRelated","test_process_related","",""
"删除存在的物料BOM，删除成功","3691","删除物料BOM","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:11 CST 2025","passed","Fri May 30 08:17:15 CST 2025","TestProductMaterials","test_product_materials","",""
"使用符合要求的信息创建工序，创建成功","2434","创建工序","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:16:45 CST 2025","failed","Fri May 30 08:16:48 CST 2025","TestProcessRelated","test_process_related","",""
"使用符合要求的物料信息创建物料，创建成功","2491","创建物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:01 CST 2025","passed","Fri May 30 08:17:04 CST 2025","TestProductMaterials","test_product_materials","",""
"创建重复代码物料，创建失败并给出相应的提示","1197","创建重复代码物料","TestCase.functional_tests.test_factory_modeling","Fri May 30 08:17:04 CST 2025","passed","Fri May 30 08:17:05 CST 2025","TestProductMaterials","test_product_materials","",""
