"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"确认生产计划，期望确认成功","66","确认生产计划","TestCase.test_integration","Sun Jul 13 15:34:22 CST 2025","passed","Sun Jul 13 15:34:22 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产线，提取产线ID","56","查询产线","TestCase.test_integration","Sun Jul 13 15:34:22 CST 2025","passed","Sun Jul 13 15:34:22 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","159","生产完工","TestCase.test_integration","Sun Jul 13 15:34:36 CST 2025","passed","Sun Jul 13 15:34:37 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线ESOP文件，期望新增成功","308","新增工艺路线ESOP文件","TestCase.test_integration","Sun Jul 13 15:34:21 CST 2025","passed","Sun Jul 13 15:34:21 CST 2025","TestMainProcess","test_mainprocess","",""
"删除安灯规则，期望删除成功","27","删除安灯规则","TestCase.test_integration","Sun Jul 13 15:34:38 CST 2025","passed","Sun Jul 13 15:34:38 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产线，期望删除成功","210","删除产线","TestCase.test_integration","Sun Jul 13 15:34:37 CST 2025","passed","Sun Jul 13 15:34:37 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","493","清理测试数据","TestCase.test_integration","Sun Jul 13 15:34:38 CST 2025","passed","Sun Jul 13 15:34:38 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯处理确认接口，期望成功","44","安灯处理确认","TestCase.test_integration","Sun Jul 13 15:34:36 CST 2025","passed","Sun Jul 13 15:34:36 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工序，期望新增成功","20","新增工序","TestCase.test_integration","Sun Jul 13 15:34:20 CST 2025","passed","Sun Jul 13 15:34:20 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯开始处理接口，期望成功","32","安灯开始处理","TestCase.test_integration","Sun Jul 13 15:34:36 CST 2025","passed","Sun Jul 13 15:34:36 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","134","扫描标签","TestCase.test_integration","Sun Jul 13 15:34:35 CST 2025","passed","Sun Jul 13 15:34:36 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","187","标签拆分","TestCase.test_integration","Sun Jul 13 15:34:36 CST 2025","passed","Sun Jul 13 15:34:36 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产品工艺路线，期望删除成功","201","删除产品工艺路线","TestCase.test_integration","Sun Jul 13 15:34:37 CST 2025","passed","Sun Jul 13 15:34:37 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","73","新增工艺路线","TestCase.test_integration","Sun Jul 13 15:34:20 CST 2025","passed","Sun Jul 13 15:34:20 CST 2025","TestMainProcess","test_mainprocess","",""
"产品绑定工艺路线，期望绑定成功","45","产品绑定工艺路线","TestCase.test_integration","Sun Jul 13 15:34:20 CST 2025","passed","Sun Jul 13 15:34:20 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工艺路线，期望删除成功","47","删除工艺路线","TestCase.test_integration","Sun Jul 13 15:34:37 CST 2025","passed","Sun Jul 13 15:34:37 CST 2025","TestMainProcess","test_mainprocess","",""
