"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","test_05_query_production_line","TestCase.functional_tests","Mon Jul 07 10:28:35 CST 2025","passed","Mon Jul 07 10:28:35 CST 2025","TestFactoryStructure","test_factory_structure","",""
"新增工序，期望新增成功","27","新增工序","TestCase.integration_tests","Mon Jul 07 10:29:36 CST 2025","passed","Mon Jul 07 10:29:36 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","39","扫描标签","TestCase.integration_tests","Mon Jul 07 10:29:52 CST 2025","passed","Mon Jul 07 10:29:52 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_01_add_process","TestCase.functional_tests","Mon Jul 07 10:28:46 CST 2025","passed","Mon Jul 07 10:28:46 CST 2025","TestProcess","test_process","",""
"","90","标签拆分","TestCase.functional_tests","Mon Jul 07 10:28:38 CST 2025","passed","Mon Jul 07 10:28:38 CST 2025","TestLabel","test_label","",""
"","41","test_02_query_process","TestCase.functional_tests","Mon Jul 07 10:28:46 CST 2025","passed","Mon Jul 07 10:28:46 CST 2025","TestProcess","test_process","",""
"","21","删除物料BOM","TestCase.functional_tests","Mon Jul 07 10:28:43 CST 2025","passed","Mon Jul 07 10:28:43 CST 2025","TestMaterials","test_materials","",""
"删除测试创建的车间，期望删除成功","2","删除车间","TestCase.integration_tests","Mon Jul 07 10:29:56 CST 2025","passed","Mon Jul 07 10:29:56 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","39","查询产品工艺路线","TestCase.integration_tests","Mon Jul 07 10:29:37 CST 2025","passed","Mon Jul 07 10:29:37 CST 2025","TestMainProcess","test_mainprocess","",""
"提交生产报工，期望报工成功","1168","生产报工","TestCase.integration_tests","Mon Jul 07 10:29:55 CST 2025","passed","Mon Jul 07 10:29:56 CST 2025","TestMainProcess","test_mainprocess","",""
