"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"查询产线，提取产线ID","24","查询产线","TestCase.integration_tests","Tue Jul 01 15:09:46 CST 2025","passed","Tue Jul 01 15:09:46 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","100","新增产线","TestCase.integration_tests","Tue Jul 01 15:09:46 CST 2025","passed","Tue Jul 01 15:09:46 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","352","清理测试数据","TestCase.integration_tests","Tue Jul 01 15:09:59 CST 2025","passed","Tue Jul 01 15:09:59 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，绑定成功","5859","工艺路线绑定工序","TestCase.functional_tests.test_factory_modeling","Tue Jul 01 15:08:44 CST 2025","broken","Tue Jul 01 15:08:49 CST 2025","TestProcessRelated","test_process_related","",""
"使用重复的信息新建设备，新建失败","1555","新建设备校验唯一","TestCase.functional_tests.test_equipment_management","Tue Jul 01 15:03:18 CST 2025","failed","Tue Jul 01 15:03:19 CST 2025","TestEquipmentLedger","test_equipment_ledger","",""
"新增工序，期望新增成功","33","新增工序","TestCase.integration_tests","Tue Jul 01 15:09:44 CST 2025","passed","Tue Jul 01 15:09:44 CST 2025","TestMainProcess","test_mainprocess","",""
"查询设备台账，提取设备ID","43","查询设备台账","TestCase.integration_tests","Tue Jul 01 15:09:45 CST 2025","passed","Tue Jul 01 15:09:45 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线ESOP文件，期望新增成功","117","新增工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 15:09:45 CST 2025","passed","Tue Jul 01 15:09:45 CST 2025","TestMainProcess","test_mainprocess","",""
"新增重复工艺路线，新增失败","8570","新增重复工艺路线","TestCase.functional_tests.test_factory_modeling","Tue Jul 01 15:06:51 CST 2025","broken","Tue Jul 01 15:06:59 CST 2025","TestProcessRelated","test_process_related","",""
"工艺路线绑定工序，期望绑定成功","53","工艺路线绑定工序","TestCase.integration_tests","Tue Jul 01 15:09:44 CST 2025","passed","Tue Jul 01 15:09:44 CST 2025","TestMainProcess","test_mainprocess","",""
"删除存在的车间，删除成功","3273","删除车间","TestCase.functional_tests.test_factory_modeling","Tue Jul 01 15:04:28 CST 2025","skipped","Tue Jul 01 15:04:32 CST 2025","TestPlantLayout","test_plant_layout","",""
