"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"新增符合要求的工艺路线，新增成功","1494","新增工艺路线","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:55:58 CST 2025","passed","Thu May 29 17:56:00 CST 2025","TestProcessRelated","test_process_related","",""
"查询存在的物料BOM，数据正确","1219","查询物料BOM","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:15 CST 2025","passed","Thu May 29 17:56:16 CST 2025","TestProductMaterials","test_product_materials","",""
"正确账号错误密码登陆，登陆失败并给出相应的提示","168","正确账号错误密码登陆","TestCase.functional_tests","Thu May 29 17:56:20 CST 2025","passed","Thu May 29 17:56:20 CST 2025","TestLogin","test_login","",""
"删除工艺路线，删除成功","1485","删除工艺路线","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:01 CST 2025","passed","Thu May 29 17:56:03 CST 2025","TestProcessRelated","test_process_related","",""
"使用重复的工序代码，创建失败","1588","创建工序校验重复","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:55:55 CST 2025","passed","Thu May 29 17:55:57 CST 2025","TestProcessRelated","test_process_related","",""
"错误账号正确密码登陆，登陆失败并给出相应的提示","21","错误账号正确密码登陆","TestCase.functional_tests","Thu May 29 17:56:20 CST 2025","passed","Thu May 29 17:56:20 CST 2025","TestLogin","test_login","",""
"工艺路线绑定工序，绑定成功","1563","工艺路线绑定工序","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:03 CST 2025","failed","Thu May 29 17:56:04 CST 2025","TestProcessRelated","test_process_related","",""
"使用符合要求的物料信息创建物料，创建成功","2469","创建物料","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:05 CST 2025","passed","Thu May 29 17:56:07 CST 2025","TestProductMaterials","test_product_materials","",""
"使用符合要求的信息创建工序，创建成功","1531","创建工序","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:55:54 CST 2025","passed","Thu May 29 17:55:55 CST 2025","TestProcessRelated","test_process_related","",""
"使用正确的账号和密码登录，登陆成功","175","正确账号密码登陆","TestCase.functional_tests","Thu May 29 17:56:19 CST 2025","passed","Thu May 29 17:56:20 CST 2025","TestLogin","test_login","",""
"使用已有的物料查询，查询成功","1615","查询物料","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:09 CST 2025","passed","Thu May 29 17:56:10 CST 2025","TestProductMaterials","test_product_materials","",""
"删除已存在的工序，删除成功","1333","删除工序","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:55:57 CST 2025","passed","Thu May 29 17:55:58 CST 2025","TestProcessRelated","test_process_related","",""
"删除存在的物料BOM，删除成功","3678","删除物料BOM","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:16 CST 2025","passed","Thu May 29 17:56:19 CST 2025","TestProductMaterials","test_product_materials","",""
"新增已有的物料和不存在的BOM，新增成功","2920","新建物料BOM","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:12 CST 2025","passed","Thu May 29 17:56:15 CST 2025","TestProductMaterials","test_product_materials","",""
"使用已有的物料删除，删除成功","1232","删除物料","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:10 CST 2025","passed","Thu May 29 17:56:12 CST 2025","TestProductMaterials","test_product_materials","",""
"创建重复代码物料，创建失败并给出相应的提示","1450","创建重复代码物料","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:07 CST 2025","passed","Thu May 29 17:56:09 CST 2025","TestProductMaterials","test_product_materials","",""
"新增重复工艺路线，新增失败","1356","新增重复工艺路线","TestCase.functional_tests.test_factory_modeling","Thu May 29 17:56:00 CST 2025","passed","Thu May 29 17:56:01 CST 2025","TestProcessRelated","test_process_related","",""
