"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"审核ESOP文件，期望审核成功","99","审核ESOP文件","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:56 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","95","删除车间","TestCase.integration_tests","Tue Jul 01 17:17:03 CST 2025","passed","Tue Jul 01 17:17:03 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_04_add_route","TestCase.functional_tests","Tue Jul 01 17:16:22 CST 2025","passed","Tue Jul 01 17:16:22 CST 2025","TestProcess","test_process","",""
"查询检验单，提取检验单号","1434","查询检验单","TestCase.integration_tests","Tue Jul 01 17:16:58 CST 2025","passed","Tue Jul 01 17:16:59 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","23","新增工艺路线","TestCase.integration_tests","Tue Jul 01 17:16:55 CST 2025","passed","Tue Jul 01 17:16:55 CST 2025","TestMainProcess","test_mainprocess","",""
"新增ESOP文件，期望新增成功","147","新增ESOP文件","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:56 CST 2025","TestMainProcess","test_mainprocess","",""
"","43","test_07_delete_production_line","TestCase.functional_tests","Tue Jul 01 17:16:15 CST 2025","passed","Tue Jul 01 17:16:16 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","112","删除物料","TestCase.functional_tests","Tue Jul 01 17:16:21 CST 2025","passed","Tue Jul 01 17:16:21 CST 2025","TestMaterials","test_materials","",""
"新增工艺路线ESOP文件，期望新增成功","117","新增工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:56 CST 2025","TestMainProcess","test_mainprocess","",""
"","16","test_08_delete_workshop","TestCase.functional_tests","Tue Jul 01 17:16:16 CST 2025","passed","Tue Jul 01 17:16:16 CST 2025","TestFactoryStructure","test_factory_structure","",""
"新增车间，期望新增成功","39","新增车间","TestCase.integration_tests","Tue Jul 01 17:16:57 CST 2025","passed","Tue Jul 01 17:16:57 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","26","查询产品工艺路线","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:56 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","18","新增物料BOM明细","TestCase.integration_tests","Tue Jul 01 17:16:55 CST 2025","passed","Tue Jul 01 17:16:55 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工序，期望新增成功","24","新增工序","TestCase.integration_tests","Tue Jul 01 17:16:55 CST 2025","passed","Tue Jul 01 17:16:55 CST 2025","TestMainProcess","test_mainprocess","",""
"产品绑定工艺路线，期望绑定成功","45","产品绑定工艺路线","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:56 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","395","清理测试数据","TestCase.integration_tests","Tue Jul 01 17:17:03 CST 2025","passed","Tue Jul 01 17:17:04 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","31","工艺路线绑定工序","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:56 CST 2025","TestMainProcess","test_mainprocess","",""
"查询已创建的物料，提取物料ID","165","查询物料","TestCase.integration_tests","Tue Jul 01 17:16:55 CST 2025","passed","Tue Jul 01 17:16:55 CST 2025","TestMainProcess","test_mainprocess","",""
"","34","设备台账唯一性校验","TestCase.functional_tests","Tue Jul 01 17:16:13 CST 2025","passed","Tue Jul 01 17:16:14 CST 2025","TestEquipment","test_equipment","",""
"新增设备台账，期望新增成功","42","新增设备台账","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:56 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","48","删除物料BOM","TestCase.integration_tests","Tue Jul 01 17:17:03 CST 2025","passed","Tue Jul 01 17:17:03 CST 2025","TestMainProcess","test_mainprocess","",""
"审核工艺路线ESOP文件，期望审核成功","55","审核工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 17:16:56 CST 2025","passed","Tue Jul 01 17:16:57 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","81","确认生产计划","TestCase.integration_tests","Tue Jul 01 17:16:57 CST 2025","passed","Tue Jul 01 17:16:57 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","19","新增物料BOM","TestCase.integration_tests","Tue Jul 01 17:16:55 CST 2025","passed","Tue Jul 01 17:16:55 CST 2025","TestMainProcess","test_mainprocess","",""
"创建检验方案，期望创建成功","43","创建检验方案","TestCase.integration_tests","Tue Jul 01 17:16:57 CST 2025","passed","Tue Jul 01 17:16:57 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","165","标签拆分","TestCase.integration_tests","Tue Jul 01 17:17:02 CST 2025","passed","Tue Jul 01 17:17:02 CST 2025","TestMainProcess","test_mainprocess","",""
"","19","删除物料BOM","TestCase.functional_tests","Tue Jul 01 17:16:21 CST 2025","passed","Tue Jul 01 17:16:21 CST 2025","TestMaterials","test_materials","",""
"查看生产SOP文档，期望查看成功","30","查看SOP","TestCase.integration_tests","Tue Jul 01 17:16:58 CST 2025","passed","Tue Jul 01 17:16:58 CST 2025","TestMainProcess","test_mainprocess","",""
"","25","test_06_route_uniqueness","TestCase.functional_tests","Tue Jul 01 17:16:22 CST 2025","passed","Tue Jul 01 17:16:22 CST 2025","TestProcess","test_process","",""
"","0","test_01_add_process","TestCase.functional_tests","Tue Jul 01 17:16:22 CST 2025","passed","Tue Jul 01 17:16:22 CST 2025","TestProcess","test_process","",""
"报废产品标签，期望报废成功","1","标签报废","TestCase.integration_tests","Tue Jul 01 17:17:02 CST 2025","passed","Tue Jul 01 17:17:02 CST 2025","TestMainProcess","test_mainprocess","",""
"","57","标签拆分","TestCase.functional_tests","Tue Jul 01 17:16:17 CST 2025","passed","Tue Jul 01 17:16:17 CST 2025","TestLabel","test_label","",""
"确认上料操作，期望确认成功","25","确认上料","TestCase.integration_tests","Tue Jul 01 17:17:02 CST 2025","passed","Tue Jul 01 17:17:02 CST 2025","TestMainProcess","test_mainprocess","",""
"","52","扫描标签","TestCase.functional_tests","Tue Jul 01 17:16:17 CST 2025","passed","Tue Jul 01 17:16:17 CST 2025","TestLabel","test_label","",""
"合并产品标签，期望合并成功","2","标签合并","TestCase.integration_tests","Tue Jul 01 17:17:02 CST 2025","passed","Tue Jul 01 17:17:02 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","1","标签完工","TestCase.integration_tests","Tue Jul 01 17:17:02 CST 2025","passed","Tue Jul 01 17:17:02 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工艺路线，期望删除成功","62","删除工艺路线","TestCase.integration_tests","Tue Jul 01 17:17:03 CST 2025","passed","Tue Jul 01 17:17:03 CST 2025","TestMainProcess","test_mainprocess","",""
"","54","test_03_workshop_uniqueness","TestCase.functional_tests","Tue Jul 01 17:16:15 CST 2025","passed","Tue Jul 01 17:16:15 CST 2025","TestFactoryStructure","test_factory_structure","",""
"提交质量检验结果，期望提交成功","1422","提交检验结果","TestCase.integration_tests","Tue Jul 01 17:17:01 CST 2025","passed","Tue Jul 01 17:17:02 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","114","生产完工","TestCase.integration_tests","Tue Jul 01 17:17:03 CST 2025","passed","Tue Jul 01 17:17:03 CST 2025","TestMainProcess","test_mainprocess","",""
