"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"查询物料BOM，提取BOM ID","136","查询物料BOM","TestCase.integration_tests","Tue Jul 01 17:15:27 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","436","清理测试数据","TestCase.integration_tests","Tue Jul 01 17:15:36 CST 2025","passed","Tue Jul 01 17:15:36 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","262","标签拆分","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"新增设备台账，期望新增成功","24","新增设备台账","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","37","新增工艺路线","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"审核ESOP文件，期望审核成功","58","审核ESOP文件","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","39","工艺路线绑定工序","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"","33","test_02_query_workshop","TestCase.functional_tests","Tue Jul 01 17:14:49 CST 2025","failed","Tue Jul 01 17:14:49 CST 2025","TestFactoryStructure","test_factory_structure","",""
"确认上料操作，期望确认成功","33","确认上料","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"","33","标签拆分","TestCase.functional_tests","Tue Jul 01 17:14:51 CST 2025","passed","Tue Jul 01 17:14:51 CST 2025","TestLabel","test_label","",""
"扫描上料标签SN，期望扫描成功","59","上料扫描SN","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","23","查询产品工艺路线","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"报废产品标签，期望报废成功","2","标签报废","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"","36","test_06_production_line_uniqueness","TestCase.functional_tests","Tue Jul 01 17:14:49 CST 2025","passed","Tue Jul 01 17:14:49 CST 2025","TestFactoryStructure","test_factory_structure","",""
"创建生产派工单，期望创建成功","138","创建派工单","TestCase.integration_tests","Tue Jul 01 17:15:29 CST 2025","passed","Tue Jul 01 17:15:30 CST 2025","TestMainProcess","test_mainprocess","",""
"","120","test_07_delete_production_line","TestCase.functional_tests","Tue Jul 01 17:14:49 CST 2025","passed","Tue Jul 01 17:14:49 CST 2025","TestFactoryStructure","test_factory_structure","",""
"删除测试创建的产品工艺路线，期望删除成功","116","删除产品工艺路线","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","test_04_add_route","TestCase.functional_tests","Tue Jul 01 17:14:57 CST 2025","passed","Tue Jul 01 17:14:57 CST 2025","TestProcess","test_process","",""
"","57","设备台账唯一性校验","TestCase.functional_tests","Tue Jul 01 17:14:47 CST 2025","passed","Tue Jul 01 17:14:47 CST 2025","TestEquipment","test_equipment","",""
"查询产线，提取产线ID","18","查询产线","TestCase.integration_tests","Tue Jul 01 17:15:29 CST 2025","passed","Tue Jul 01 17:15:29 CST 2025","TestMainProcess","test_mainprocess","",""
"","25","删除设备台账","TestCase.functional_tests","Tue Jul 01 17:14:47 CST 2025","passed","Tue Jul 01 17:14:47 CST 2025","TestEquipment","test_equipment","",""
"新增工艺路线ESOP文件，期望新增成功","110","新增工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:29 CST 2025","TestMainProcess","test_mainprocess","",""
"查询设备台账，提取设备ID","18","查询设备台账","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"产品工序BOM绑定，期望绑定成功","89","产品工序BOM绑定","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","1654","开始检验","TestCase.integration_tests","Tue Jul 01 17:15:31 CST 2025","passed","Tue Jul 01 17:15:33 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建设备台账，期望删除成功","39","删除设备台账","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:36 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","2","标签合并","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"","55","test_03_material_uniqueness","TestCase.functional_tests","Tue Jul 01 17:14:55 CST 2025","passed","Tue Jul 01 17:14:55 CST 2025","TestMaterials","test_materials","",""
"","20","删除工艺路线","TestCase.functional_tests","Tue Jul 01 17:14:57 CST 2025","passed","Tue Jul 01 17:14:57 CST 2025","TestProcess","test_process","",""
"创建一条新的物料信息，期望新增成功","164","新增物料","TestCase.integration_tests","Tue Jul 01 17:15:27 CST 2025","passed","Tue Jul 01 17:15:27 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","17","新增物料BOM明细","TestCase.integration_tests","Tue Jul 01 17:15:27 CST 2025","passed","Tue Jul 01 17:15:27 CST 2025","TestMainProcess","test_mainprocess","",""
"","16","test_06_bom_uniqueness","TestCase.functional_tests","Tue Jul 01 17:14:55 CST 2025","passed","Tue Jul 01 17:14:55 CST 2025","TestMaterials","test_materials","",""
"查询检验单，提取检验单号","1403","查询检验单","TestCase.integration_tests","Tue Jul 01 17:15:30 CST 2025","passed","Tue Jul 01 17:15:31 CST 2025","TestMainProcess","test_mainprocess","",""
"","23","test_08_delete_workshop","TestCase.functional_tests","Tue Jul 01 17:14:49 CST 2025","passed","Tue Jul 01 17:14:49 CST 2025","TestFactoryStructure","test_factory_structure","",""
"转移产品标签，期望转移成功","1","标签转移","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工序，提取工序ID","20","查询工序","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"新增ESOP文件，期望新增成功","104","新增ESOP文件","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","23","查询车间","TestCase.integration_tests","Tue Jul 01 17:15:29 CST 2025","passed","Tue Jul 01 17:15:29 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工艺路线，提取工艺路线ID","18","查询工艺路线","TestCase.integration_tests","Tue Jul 01 17:15:28 CST 2025","passed","Tue Jul 01 17:15:28 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","37","新增产线","TestCase.integration_tests","Tue Jul 01 17:15:29 CST 2025","passed","Tue Jul 01 17:15:29 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产计划，期望创建成功","251","创建生产计划","TestCase.integration_tests","Tue Jul 01 17:15:29 CST 2025","passed","Tue Jul 01 17:15:29 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","26","新增物料BOM","TestCase.integration_tests","Tue Jul 01 17:15:27 CST 2025","passed","Tue Jul 01 17:15:27 CST 2025","TestMainProcess","test_mainprocess","",""
"","39","test_03_workshop_uniqueness","TestCase.functional_tests","Tue Jul 01 17:14:49 CST 2025","passed","Tue Jul 01 17:14:49 CST 2025","TestFactoryStructure","test_factory_structure","",""
"提交质量检验结果，期望提交成功","1495","提交检验结果","TestCase.integration_tests","Tue Jul 01 17:15:33 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"","186","test_02_query_material","TestCase.functional_tests","Tue Jul 01 17:14:55 CST 2025","passed","Tue Jul 01 17:14:55 CST 2025","TestMaterials","test_materials","",""
"","157","删除物料","TestCase.functional_tests","Tue Jul 01 17:14:55 CST 2025","passed","Tue Jul 01 17:14:55 CST 2025","TestMaterials","test_materials","",""
"删除测试创建的工序，期望删除成功","43","删除工序","TestCase.integration_tests","Tue Jul 01 17:15:35 CST 2025","passed","Tue Jul 01 17:15:35 CST 2025","TestMainProcess","test_mainprocess","",""
"","119","查询设备台账","TestCase.functional_tests","Tue Jul 01 17:14:46 CST 2025","passed","Tue Jul 01 17:14:47 CST 2025","TestEquipment","test_equipment","",""
"删除测试创建的物料BOM，期望删除成功","38","删除物料BOM","TestCase.integration_tests","Tue Jul 01 17:15:36 CST 2025","passed","Tue Jul 01 17:15:36 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","71","确认生产计划","TestCase.integration_tests","Tue Jul 01 17:15:29 CST 2025","passed","Tue Jul 01 17:15:29 CST 2025","TestMainProcess","test_mainprocess","",""
