"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"审核ESOP文件，期望审核成功","73","审核ESOP文件","TestCase.integration_tests","Sun Jul 13 13:23:12 CST 2025","passed","Sun Jul 13 13:23:13 CST 2025","TestMainProcess","test_mainprocess","",""
"创建一条新的物料信息，期望新增成功","60","新增物料","TestCase.integration_tests","Sun Jul 13 13:23:11 CST 2025","passed","Sun Jul 13 13:23:11 CST 2025","TestMainProcess","test_mainprocess","",""
"查询物料BOM，提取BOM ID","534","查询物料BOM","TestCase.integration_tests","Sun Jul 13 13:23:11 CST 2025","passed","Sun Jul 13 13:23:12 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工序，期望删除成功","35","删除工序","TestCase.integration_tests","Sun Jul 13 13:23:19 CST 2025","passed","Sun Jul 13 13:23:19 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯开始处理接口，期望成功","32","安灯开始处理","TestCase.integration_tests","Sun Jul 13 13:23:19 CST 2025","passed","Sun Jul 13 13:23:19 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","88","确认上料","TestCase.integration_tests","Sun Jul 13 13:23:19 CST 2025","passed","Sun Jul 13 13:23:19 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","0","标签合并","TestCase.integration_tests","Sun Jul 13 13:23:18 CST 2025","passed","Sun Jul 13 13:23:18 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产线，提取产线ID","96","查询产线","TestCase.integration_tests","Sun Jul 13 13:23:13 CST 2025","passed","Sun Jul 13 13:23:13 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","63","安灯签到","TestCase.integration_tests","Sun Jul 13 13:23:19 CST 2025","passed","Sun Jul 13 13:23:19 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","87","查询车间","TestCase.integration_tests","Sun Jul 13 13:23:13 CST 2025","passed","Sun Jul 13 13:23:13 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产计划，期望创建成功","86","创建生产计划","TestCase.integration_tests","Sun Jul 13 13:23:13 CST 2025","passed","Sun Jul 13 13:23:13 CST 2025","TestMainProcess","test_mainprocess","",""
