"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"提交质量检验结果，期望提交成功","1584","提交检验结果","TestCase.integration_tests","Tue Jul 01 16:38:21 CST 2025","passed","Tue Jul 01 16:38:22 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","test_04_add_bom","TestCase.functional_tests","Tue Jul 01 16:37:44 CST 2025","broken","Tue Jul 01 16:37:44 CST 2025","TestMaterials","test_materials","",""
"查询物料BOM，提取BOM ID","160","查询物料BOM","TestCase.integration_tests","Tue Jul 01 16:38:15 CST 2025","passed","Tue Jul 01 16:38:15 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产线，期望删除成功","47","删除产线","TestCase.integration_tests","Tue Jul 01 16:38:23 CST 2025","passed","Tue Jul 01 16:38:23 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","58","删除车间","TestCase.integration_tests","Tue Jul 01 16:38:23 CST 2025","passed","Tue Jul 01 16:38:23 CST 2025","TestMainProcess","test_mainprocess","",""
"","17","test_06_production_line_uniqueness","TestCase.functional_tests","Tue Jul 01 16:37:40 CST 2025","passed","Tue Jul 01 16:37:40 CST 2025","TestFactoryStructure","test_factory_structure","",""
"转移产品标签，期望转移成功","1","标签转移","TestCase.integration_tests","Tue Jul 01 16:38:23 CST 2025","passed","Tue Jul 01 16:38:23 CST 2025","TestMainProcess","test_mainprocess","",""
"","1","test_04_add_route","TestCase.functional_tests","Tue Jul 01 16:37:45 CST 2025","passed","Tue Jul 01 16:37:45 CST 2025","TestProcess","test_process","",""
"新增工艺路线，期望新增成功","24","新增工艺路线","TestCase.integration_tests","Tue Jul 01 16:38:15 CST 2025","passed","Tue Jul 01 16:38:15 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","83","确认生产计划","TestCase.integration_tests","Tue Jul 01 16:38:16 CST 2025","passed","Tue Jul 01 16:38:16 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描上料标签SN，期望扫描成功","47","上料扫描SN","TestCase.integration_tests","Tue Jul 01 16:38:23 CST 2025","passed","Tue Jul 01 16:38:23 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","删除物料BOM","TestCase.functional_tests","Tue Jul 01 16:37:44 CST 2025","broken","Tue Jul 01 16:37:44 CST 2025","TestMaterials","test_materials","",""
"","20","test_03_process_uniqueness","TestCase.functional_tests","Tue Jul 01 16:37:45 CST 2025","passed","Tue Jul 01 16:37:45 CST 2025","TestProcess","test_process","",""
"新增设备台账，期望新增成功","26","新增设备台账","TestCase.integration_tests","Tue Jul 01 16:38:16 CST 2025","passed","Tue Jul 01 16:38:16 CST 2025","TestMainProcess","test_mainprocess","",""
"审核工艺路线ESOP文件，期望审核成功","75","审核工艺路线ESOP文件","TestCase.integration_tests","Tue Jul 01 16:38:16 CST 2025","passed","Tue Jul 01 16:38:16 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","test_06_bom_uniqueness","TestCase.functional_tests","Tue Jul 01 16:37:44 CST 2025","broken","Tue Jul 01 16:37:44 CST 2025","TestMaterials","test_materials","",""
"查询车间，提取车间ID","49","查询车间","TestCase.integration_tests","Tue Jul 01 16:38:16 CST 2025","passed","Tue Jul 01 16:38:16 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","45","新增物料BOM","TestCase.integration_tests","Tue Jul 01 16:38:15 CST 2025","passed","Tue Jul 01 16:38:15 CST 2025","TestMainProcess","test_mainprocess","",""
"查询检验单，提取检验单号","1694","查询检验单","TestCase.integration_tests","Tue Jul 01 16:38:17 CST 2025","passed","Tue Jul 01 16:38:19 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","1645","开始检验","TestCase.integration_tests","Tue Jul 01 16:38:19 CST 2025","passed","Tue Jul 01 16:38:21 CST 2025","TestMainProcess","test_mainprocess","",""
"","24","test_03_workshop_uniqueness","TestCase.functional_tests","Tue Jul 01 16:37:39 CST 2025","passed","Tue Jul 01 16:37:39 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","0","test_01_add_workshop","TestCase.functional_tests","Tue Jul 01 16:37:39 CST 2025","failed","Tue Jul 01 16:37:39 CST 2025","TestFactoryStructure","test_factory_structure","",""
"","20","删除工艺路线","TestCase.functional_tests","Tue Jul 01 16:37:45 CST 2025","passed","Tue Jul 01 16:37:45 CST 2025","TestProcess","test_process","",""
"查询工序，提取工序ID","17","查询工序","TestCase.integration_tests","Tue Jul 01 16:38:15 CST 2025","passed","Tue Jul 01 16:38:15 CST 2025","TestMainProcess","test_mainprocess","",""
"","30","删除设备台账","TestCase.functional_tests","Tue Jul 01 16:37:38 CST 2025","passed","Tue Jul 01 16:37:38 CST 2025","TestEquipment","test_equipment","",""
"完工产品标签，期望完工成功","1","标签完工","TestCase.integration_tests","Tue Jul 01 16:38:23 CST 2025","passed","Tue Jul 01 16:38:23 CST 2025","TestMainProcess","test_mainprocess","",""
"","55","扫描标签","TestCase.functional_tests","Tue Jul 01 16:37:41 CST 2025","passed","Tue Jul 01 16:37:41 CST 2025","TestLabel","test_label","",""
"集中清理所有测试数据，防止数据残留","362","清理测试数据","TestCase.integration_tests","Tue Jul 01 16:38:23 CST 2025","passed","Tue Jul 01 16:38:24 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","30","删除物料BOM","TestCase.integration_tests","Tue Jul 01 16:38:23 CST 2025","passed","Tue Jul 01 16:38:23 CST 2025","TestMainProcess","test_mainprocess","",""
"","33","新增设备台账","TestCase.functional_tests","Tue Jul 01 16:37:37 CST 2025","failed","Tue Jul 01 16:37:37 CST 2025","TestEquipment","test_equipment","",""
"产品绑定工艺路线，期望绑定成功","27","产品绑定工艺路线","TestCase.integration_tests","Tue Jul 01 16:38:15 CST 2025","passed","Tue Jul 01 16:38:15 CST 2025","TestMainProcess","test_mainprocess","",""
