"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","标签拆分","TestCase.functional_tests","Sun Jul 13 12:50:11 CST 2025","passed","Sun Jul 13 12:50:11 CST 2025","TestLabel","test_label","",""
"删除测试创建的物料BOM，期望删除成功","32","删除物料BOM","TestCase.integration_tests","Sun Jul 13 12:50:54 CST 2025","passed","Sun Jul 13 12:50:54 CST 2025","TestMainProcess","test_mainprocess","",""
"","183","test_02_query_material","TestCase.functional_tests","Sun Jul 13 12:50:14 CST 2025","passed","Sun Jul 13 12:50:14 CST 2025","TestMaterials","test_materials","",""
"查询工艺路线，提取工艺路线ID","21","查询工艺路线","TestCase.integration_tests","Sun Jul 13 12:50:46 CST 2025","passed","Sun Jul 13 12:50:46 CST 2025","TestMainProcess","test_mainprocess","",""
"","54","扫描标签","TestCase.functional_tests","Sun Jul 13 12:50:11 CST 2025","passed","Sun Jul 13 12:50:11 CST 2025","TestLabel","test_label","",""
"","0","test_01_add_process","TestCase.functional_tests","Sun Jul 13 12:50:17 CST 2025","passed","Sun Jul 13 12:50:17 CST 2025","TestProcess","test_process","",""
"创建一条新的物料信息，期望新增成功","49","新增物料","TestCase.integration_tests","Sun Jul 13 12:50:45 CST 2025","passed","Sun Jul 13 12:50:45 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产线，提取产线ID","66","查询产线","TestCase.integration_tests","Sun Jul 13 12:50:47 CST 2025","passed","Sun Jul 13 12:50:47 CST 2025","TestMainProcess","test_mainprocess","",""
"新增ESOP文件，期望新增成功","110","新增ESOP文件","TestCase.integration_tests","Sun Jul 13 12:50:47 CST 2025","passed","Sun Jul 13 12:50:47 CST 2025","TestMainProcess","test_mainprocess","",""
"查询已创建的派工单，提取派工单号","23","查询派工单","TestCase.integration_tests","Sun Jul 13 12:50:48 CST 2025","passed","Sun Jul 13 12:50:48 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","31","扫描标签","TestCase.integration_tests","Sun Jul 13 12:50:52 CST 2025","passed","Sun Jul 13 12:50:52 CST 2025","TestMainProcess","test_mainprocess","",""
"","108","删除工序","TestCase.functional_tests","Sun Jul 13 12:50:17 CST 2025","passed","Sun Jul 13 12:50:17 CST 2025","TestProcess","test_process","",""
"调用安灯开始处理接口，期望成功","27","安灯开始处理","TestCase.integration_tests","Sun Jul 13 12:50:53 CST 2025","passed","Sun Jul 13 12:50:53 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","55","安灯签到","TestCase.integration_tests","Sun Jul 13 12:50:53 CST 2025","passed","Sun Jul 13 12:50:53 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","36","工艺路线绑定工序","TestCase.integration_tests","Sun Jul 13 12:50:46 CST 2025","passed","Sun Jul 13 12:50:46 CST 2025","TestMainProcess","test_mainprocess","",""
"","0","test_04_add_route","TestCase.functional_tests","Sun Jul 13 12:50:17 CST 2025","passed","Sun Jul 13 12:50:17 CST 2025","TestProcess","test_process","",""
"删除测试创建的工序，期望删除成功","30","删除工序","TestCase.integration_tests","Sun Jul 13 12:50:53 CST 2025","passed","Sun Jul 13 12:50:53 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","50","新增产线","TestCase.integration_tests","Sun Jul 13 12:50:47 CST 2025","passed","Sun Jul 13 12:50:47 CST 2025","TestMainProcess","test_mainprocess","",""
"查询已创建的物料，提取物料ID","168","查询物料","TestCase.integration_tests","Sun Jul 13 12:50:45 CST 2025","passed","Sun Jul 13 12:50:46 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","0","标签完工","TestCase.integration_tests","Sun Jul 13 12:50:53 CST 2025","passed","Sun Jul 13 12:50:53 CST 2025","TestMainProcess","test_mainprocess","",""
"删除安灯规则，期望删除成功","24","删除安灯规则","TestCase.integration_tests","Sun Jul 13 12:50:54 CST 2025","passed","Sun Jul 13 12:50:54 CST 2025","TestMainProcess","test_mainprocess","",""
"","23","test_03_workshop_uniqueness","TestCase.functional_tests","Sun Jul 13 12:50:09 CST 2025","passed","Sun Jul 13 12:50:09 CST 2025","TestFactoryStructure","test_factory_structure","",""
"查询安灯规则，期望查询成功","20","查询安灯规则","TestCase.integration_tests","Sun Jul 13 12:50:48 CST 2025","passed","Sun Jul 13 12:50:48 CST 2025","TestMainProcess","test_mainprocess","",""
"","14","test_08_delete_workshop","TestCase.functional_tests","Sun Jul 13 12:50:09 CST 2025","passed","Sun Jul 13 12:50:09 CST 2025","TestFactoryStructure","test_factory_structure","",""
"调用安灯处理确认接口，期望成功","28","安灯处理确认","TestCase.integration_tests","Sun Jul 13 12:50:53 CST 2025","passed","Sun Jul 13 12:50:53 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","27","新增物料BOM明细","TestCase.integration_tests","Sun Jul 13 12:50:46 CST 2025","passed","Sun Jul 13 12:50:46 CST 2025","TestMainProcess","test_mainprocess","",""
"创建首检检验单，期望创建成功","48","创建首检单","TestCase.integration_tests","Sun Jul 13 12:50:49 CST 2025","passed","Sun Jul 13 12:50:49 CST 2025","TestMainProcess","test_mainprocess","",""
"查看生产SOP文档，期望查看成功","23","查看SOP","TestCase.integration_tests","Sun Jul 13 12:50:49 CST 2025","passed","Sun Jul 13 12:50:49 CST 2025","TestMainProcess","test_mainprocess","",""
