"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"新增ESOP文件，期望新增成功","82","新增ESOP文件","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"新增车间，期望新增成功","69","新增车间","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"完工产品标签，期望完工成功","0","标签完工","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯处理确认接口，期望成功","52","安灯处理确认","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"查询已创建的派工单，提取派工单号","54","查询派工单","TestCase.test_integration","Sun Jul 13 16:22:14 CST 2025","passed","Sun Jul 13 16:22:14 CST 2025","TestMainProcess","test_mainprocess","",""
"查询车间，提取车间ID","79","查询车间","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"下达派工单，期望下达成功","99","派工单下达","TestCase.test_integration","Sun Jul 13 16:22:14 CST 2025","passed","Sun Jul 13 16:22:14 CST 2025","TestMainProcess","test_mainprocess","",""
"创建首检检验单，期望创建成功","64","创建首检单","TestCase.test_integration","Sun Jul 13 16:22:15 CST 2025","passed","Sun Jul 13 16:22:15 CST 2025","TestMainProcess","test_mainprocess","",""
"创建一条新的物料信息，期望新增成功","55","新增物料","TestCase.test_integration","Sun Jul 13 16:22:11 CST 2025","passed","Sun Jul 13 16:22:11 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","73","安灯签到","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"提交质量检验结果，期望提交成功","5438","提交检验结果","TestCase.test_integration","Sun Jul 13 16:22:25 CST 2025","passed","Sun Jul 13 16:22:30 CST 2025","TestMainProcess","test_mainprocess","",""
"为BOM绑定物料明细，期望新增成功","24","新增物料BOM明细","TestCase.test_integration","Sun Jul 13 16:22:11 CST 2025","passed","Sun Jul 13 16:22:11 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线，期望新增成功","28","新增工艺路线","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工艺路线ESOP文件，期望新增成功","131","新增工艺路线ESOP文件","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工序，期望删除成功","39","删除工序","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼结束接口，期望成功","50","安灯结束处理","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"查询检验单，提取检验单号","5394","查询检验单","TestCase.test_integration","Sun Jul 13 16:22:15 CST 2025","passed","Sun Jul 13 16:22:20 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工序，提取工序ID","42","查询工序","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"提交生产报工，期望报工成功","94","生产报工","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯呼叫接口，期望呼叫成功","95","安灯呼叫","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产派工单，期望创建成功","150","创建派工单","TestCase.test_integration","Sun Jul 13 16:22:14 CST 2025","passed","Sun Jul 13 16:22:14 CST 2025","TestMainProcess","test_mainprocess","",""
"产品工序BOM绑定，期望绑定成功","84","产品工序BOM绑定","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"查询设备台账，提取设备ID","52","查询设备台账","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"确认上料操作，期望确认成功","25","确认上料","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"调用安灯开始处理接口，期望成功","37","安灯开始处理","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"开始生产作业，期望启动成功","171","开始生产","TestCase.test_integration","Sun Jul 13 16:22:14 CST 2025","passed","Sun Jul 13 16:22:15 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料BOM，期望删除成功","52","删除物料BOM","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"开始质量检验，期望启动成功","4924","开始检验","TestCase.test_integration","Sun Jul 13 16:22:20 CST 2025","passed","Sun Jul 13 16:22:25 CST 2025","TestMainProcess","test_mainprocess","",""
"审核ESOP文件，期望审核成功","55","审核ESOP文件","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产线，提取产线ID","62","查询产线","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定产品，期望绑定成功","386","工艺路线绑定产品","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"新增产线，期望新增成功","61","新增产线","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"查询安灯规则，期望查询成功","37","查询安灯规则","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"查询已创建的物料，提取物料ID","197","查询物料","TestCase.test_integration","Sun Jul 13 16:22:11 CST 2025","passed","Sun Jul 13 16:22:11 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描上料标签SN，期望扫描成功","68","上料扫描SN","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产品工艺路线，期望删除成功","89","删除产品工艺路线","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"创建安灯规则，期望创建成功","59","创建安灯规则","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"新增工序，期望新增成功","25","新增工序","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"报废产品标签，期望报废成功","1","标签报废","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"产品绑定工艺路线，期望绑定成功","38","产品绑定工艺路线","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"审核工艺路线ESOP文件，期望审核成功","60","审核工艺路线ESOP文件","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"为物料新增BOM，期望新增成功","42","新增物料BOM","TestCase.test_integration","Sun Jul 13 16:22:11 CST 2025","passed","Sun Jul 13 16:22:11 CST 2025","TestMainProcess","test_mainprocess","",""
"完成生产作业，期望完工成功","106","生产完工","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"转移产品标签，期望转移成功","0","标签转移","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建设备台账，期望删除成功","40","删除设备台账","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的车间，期望删除成功","80","删除车间","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"拆分产品标签，期望拆分成功","460","标签拆分","TestCase.test_integration","Sun Jul 13 16:22:30 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"确认生产计划，期望确认成功","70","确认生产计划","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:14 CST 2025","TestMainProcess","test_mainprocess","",""
"新增设备台账，期望新增成功","118","新增设备台账","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"查看生产SOP文档，期望查看成功","38","查看SOP","TestCase.test_integration","Sun Jul 13 16:22:15 CST 2025","passed","Sun Jul 13 16:22:15 CST 2025","TestMainProcess","test_mainprocess","",""
"下达生产计划，期望下达成功","469","下达生产计划","TestCase.test_integration","Sun Jul 13 16:22:14 CST 2025","passed","Sun Jul 13 16:22:14 CST 2025","TestMainProcess","test_mainprocess","",""
"集中清理所有测试数据，防止数据残留","851","清理测试数据","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:33 CST 2025","TestMainProcess","test_mainprocess","",""
"查询工艺路线，提取工艺路线ID","32","查询工艺路线","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"创建生产计划，期望创建成功","57","创建生产计划","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的物料，期望删除成功","128","删除物料","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"合并产品标签，期望合并成功","0","标签合并","TestCase.test_integration","Sun Jul 13 16:22:31 CST 2025","passed","Sun Jul 13 16:22:31 CST 2025","TestMainProcess","test_mainprocess","",""
"创建检验方案，期望创建成功","44","创建检验方案","TestCase.test_integration","Sun Jul 13 16:22:13 CST 2025","passed","Sun Jul 13 16:22:13 CST 2025","TestMainProcess","test_mainprocess","",""
"查询产品工艺路线，提取ID","58","查询产品工艺路线","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的工艺路线，期望删除成功","23","删除工艺路线","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"扫描产品标签，期望扫描成功","61","扫描标签","TestCase.test_integration","Sun Jul 13 16:22:30 CST 2025","passed","Sun Jul 13 16:22:30 CST 2025","TestMainProcess","test_mainprocess","",""
"查询物料BOM，提取BOM ID","516","查询物料BOM","TestCase.test_integration","Sun Jul 13 16:22:11 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"删除测试创建的产线，期望删除成功","73","删除产线","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
"工艺路线绑定工序，期望绑定成功","35","工艺路线绑定工序","TestCase.test_integration","Sun Jul 13 16:22:12 CST 2025","passed","Sun Jul 13 16:22:12 CST 2025","TestMainProcess","test_mainprocess","",""
"删除安灯规则，期望删除成功","35","删除安灯规则","TestCase.test_integration","Sun Jul 13 16:22:32 CST 2025","passed","Sun Jul 13 16:22:32 CST 2025","TestMainProcess","test_mainprocess","",""
