Serving HTTP on 0.0.0.0 port 8006 (http://0.0.0.0:8006/) ...
192.168.82.204 - - [06/May/2025 15:49:23] "GET / HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:23] "GET /styles.css HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:23] "GET /plugin/screen-diff/styles.css HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:23] "GET /app.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:23] "GET /plugin/behaviors/index.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:23] "GET /plugin/packages/index.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:23] "GET /plugin/screen-diff/index.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:24] "GET /widgets/summary.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:24] "GET /widgets/behaviors.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:24] "GET /widgets/environment.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:24] "GET /widgets/history-trend.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:24] "GET /widgets/suites.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:24] "GET /widgets/categories.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:24] "GET /widgets/executors.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:25] "GET /favicon.ico HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:33] "GET / HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:33] "GET /styles.css HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:33] "GET /app.js HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:34] "GET /widgets/summary.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:34] "GET /widgets/suites.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:34] "GET /widgets/environment.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:34] "GET /widgets/behaviors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:34] "GET /widgets/history-trend.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:34] "GET /widgets/categories.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:34] "GET /widgets/executors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:40] "GET /data/categories.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:43] "GET /widgets/summary.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:43] "GET /widgets/suites.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:43] "GET /widgets/environment.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:43] "GET /widgets/behaviors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:43] "GET /widgets/history-trend.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:43] "GET /widgets/categories.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:43] "GET /widgets/executors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:49:46] "GET /data/suites.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:54] "GET /data/test-cases/2dc2db8a32012d89.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:49:59] "GET /data/categories.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:00] "GET /widgets/summary.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:00] "GET /widgets/environment.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:00] "GET /widgets/suites.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:00] "GET /widgets/behaviors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:00] "GET /widgets/history-trend.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:00] "GET /widgets/categories.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:00] "GET /widgets/executors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:50:50] "GET / HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:50] "GET /plugin/screen-diff/styles.css HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:50] "GET /styles.css HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:50] "GET /plugin/screen-diff/index.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:50] "GET /plugin/packages/index.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:50] "GET /plugin/behaviors/index.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:50] "GET /app.js HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:51] "GET /widgets/summary.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:51] "GET /widgets/suites.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:51] "GET /widgets/environment.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:51] "GET /widgets/history-trend.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:51] "GET /widgets/behaviors.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:51] "GET /widgets/executors.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:51] "GET /widgets/categories.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:50:52] "GET /favicon.ico HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:58] "GET / HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:58] "GET /styles.css HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:58] "GET /plugin/screen-diff/styles.css HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:58] "GET /app.js HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:58] "GET /plugin/behaviors/index.js HTTP/1.1" 200 -
